#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
0.85   0   0.4801   0.7513
0.86   0   0.4832   0.7578
0.87   0   0.4862   0.7643
0.88   0   0.4891   0.7707
0.89   0   0.492   0.7771
0.9   0   0.4948   0.7833
0.91   0   0.4975   0.7895
0.92   0   0.5001   0.7956
0.93   0   0.5027   0.8016
0.94   0   0.5052   0.8076
0.95   0   0.5076   0.8134
0.96   0   0.5099   0.8192
0.97   0   0.5122   0.8249
0.98   0   0.5144   0.8305
0.99   0   0.5165   0.836
1   5   0.5185   0.8415
1.01   5   0.5205   0.8468
1.02   5   0.5229   0.8521
1.03   5   0.5257   0.8573
1.04   5   0.529   0.8624
1.05   5   0.5326   0.8674
1.06   5   0.5367   0.8724
1.07   5   0.5412   0.8772
1.08   5   0.546   0.882
1.09   5   0.5513   0.8866
1.1   5   0.557   0.8912
1.11   5   0.563   0.8957
1.12   5   0.5695   0.9001
1.13   5   0.5763   0.9044
1.14   5   0.5835   0.9086
1.15   5   0.591   0.9128
1.16   5   0.599   0.9168
1.17   5   0.6072   0.9208
1.18   5   0.6159   0.9246
1.19   5   0.6249   0.9284
1.2   5   0.6342   0.932
1.21   5   0.6439   0.9356
1.22   5   0.654   0.9391
1.23   5   0.6643   0.9425
1.24   5   0.675   0.9458
1.25   5   0.686   0.949
1.26   5   0.6974   0.9521
1.27   5   0.7091   0.9551
1.28   5   0.721   0.958
1.29   5   0.7333   0.9608
1.3   5   0.7459   0.9636
1.31   5   0.7588   0.9662
1.32   5   0.772   0.9687
1.33   5   0.7855   0.9711
1.34   5   0.7992   0.9735
1.35   5   0.8133   0.9757
1.36   5   0.8276   0.9779
1.37   5   0.8422   0.9799
1.38   5   0.8571   0.9819
1.39   5   0.8723   0.9837
1.4   5   0.8877   0.9854
1.41   5   0.9033   0.9871
1.42   5   0.9193   0.9887
1.43   5   0.9354   0.9901
1.44   5   0.9518   0.9915
1.45   5   0.9685   0.9927
1.46   5   0.9854   0.9939
1.47   5   1.003   0.9949
1.48   5   1.02   0.9959
1.49   5   1.037   0.9967
1.5   5   1.055   0.9975
1.51   5   1.073   0.9982
1.52   5   1.092   0.9987
1.53   5   1.11   0.9992
1.54   5   1.129   0.9995
1.55   5   1.148   0.9998
1.56   5   1.167   0.9999
1.57   5   1.186   1
1.58   5   1.205   1
1.59   5   1.225   0.9998
1.6   5   1.245   0.9996
1.61   5   1.265   0.9992
1.62   5   1.285   0.9988
1.63   5   1.305   0.9982
1.64   5   1.326   0.9976
1.65   5   1.346   0.9969
1.66   5   1.367   0.996
1.67   5   1.388   0.9951
1.68   5   1.409   0.994
1.69   5   1.431   0.9929
1.7   5   1.452   0.9917
1.71   5   1.474   0.9903
1.72   5   1.496   0.9889
1.73   5   1.517   0.9874
1.74   5   1.539   0.9857
1.75   5   1.561   0.984
1.76   5   1.584   0.9822
1.77   5   1.606   0.9802
1.78   5   1.629   0.9782
1.79   5   1.651   0.9761
1.8   5   1.674   0.9738
1.81   5   1.697   0.9715
1.82   5   1.72   0.9691
1.83   5   1.743   0.9666
1.84   5   1.766   0.964
1.85   5   1.789   0.9613
