#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
2.13   1.85   0.405
2.14   1.8   0.4195
2.15   1.75   0.4333
2.16   1.7   0.4464
2.17   1.65   0.459
2.18   1.6   0.4709
2.19   1.55   0.4822
2.2   1.5   0.4929
2.21   1.45   0.5029
2.22   1.4   0.5124
2.23   1.35   0.5213
2.24   1.3   0.5296
2.25   1.25   0.5373
2.26   1.2   0.5444
2.27   1.15   0.551
2.28   1.1   0.5569
2.29   1.05   0.5624
2.3   1   0.5673
2.31   0.95   0.5716
2.32   0.9   0.5754
2.33   0.85   0.5786
2.34   0.8   0.5813
2.35   0.75   0.5835
2.36   0.7   0.5852
2.37   0.65   0.5863
2.38   0.6   0.587
2.39   0.55   0.5871
2.4   0.5   0.5867
2.41   0.45   0.5859
2.42   0.4   0.5845
2.43   0.35   0.5827
2.44   0.3   0.5803
2.45   0.25   0.5775
2.46   0.2   0.5742
2.47   0.15   0.5705
2.48   0.1   0.5663
2.49   0.05   0.5616
2.5   4.663e-14   0.5565
2.51   -0.05   0.551
2.52   -0.1   0.5449
2.53   -0.15   0.5385
2.54   -0.2   0.5316
2.55   -0.25   0.5243
2.56   -0.3   0.5166
2.57   -0.35   0.5084
2.58   -0.4   0.4998
2.59   -0.45   0.4908
2.6   -0.5   0.4814
2.61   -0.55   0.4716
2.62   -0.6   0.4614
2.63   -0.65   0.4508
2.64   -0.7   0.4397
2.65   -0.75   0.4283
2.66   -0.8   0.4166
2.67   -0.85   0.4044
2.68   -0.9   0.3919
2.69   -0.95   0.3789
2.7   -1   0.3656
2.71   -1.05   0.352
2.72   -1.1   0.338
2.73   -1.15   0.3236
2.74   -1.2   0.3089
2.75   -1.25   0.2938
2.76   -1.3   0.2783
2.77   -1.35   0.2625
2.78   -1.4   0.2464
2.79   -1.45   0.23
2.8   -1.5   0.2132
2.81   -1.55   0.196
2.82   -1.6   0.1786
2.83   -1.65   0.1608
2.84   -1.7   0.1427
2.85   -1.75   0.1242
2.86   -1.8   0.1055
2.87   -1.85   0.08645
2.88   -1.9   0.06708
2.89   -1.95   0.04741
2.9   -2   0.02744
2.91   -2.05   0.007162
2.92   -2.1   -0.01341
2.93   -2.15   -0.03428
2.94   -2.2   -0.05543
2.95   -2.25   -0.07688
2.96   -2.3   -0.09861
2.97   -2.35   -0.1206
2.98   -2.4   -0.1429
2.99   -2.45   -0.1655
3   -2.5   -0.1883
3.01   -2.45   -0.2115
3.02   -2.4   -0.2338
3.03   -2.35   -0.2555
3.04   -2.3   -0.2764
3.05   -2.25   -0.2967
3.06   -2.2   -0.3162
3.07   -2.15   -0.335
3.08   -2.1   -0.3532
3.09   -2.05   -0.3707
3.1   -2   -0.3875
3.11   -1.95   -0.4036
3.12   -1.9   -0.419
3.13   -1.85   -0.4339
3.14   -1.8   -0.448
3.15   -1.75   -0.4615
3.16   -1.7   -0.4744
3.17   -1.65   -0.4867
3.18   -1.6   -0.4983
3.19   -1.55   -0.5093
3.2   -1.5   -0.5197
3.21   -1.45   -0.5295
3.22   -1.4   -0.5387
3.23   -1.35   -0.5474
3.24   -1.3   -0.5554
3.25   -1.25   -0.5628
3.26   -1.2   -0.5697
3.27   -1.15   -0.576
3.28   -1.1   -0.5817
3.29   -1.05   -0.5869
3.3   -1   -0.5916
3.31   -0.95   -0.5956
3.32   -0.9   -0.5992
3.33   -0.85   -0.6022
3.34   -0.8   -0.6047
3.35   -0.75   -0.6066
3.36   -0.7   -0.6081
3.37   -0.65   -0.609
3.38   -0.6   -0.6094
3.39   -0.55   -0.6093
3.4   -0.5   -0.6087
3.41   -0.45   -0.6076
3.42   -0.4   -0.606
3.43   -0.35   -0.604
3.44   -0.3   -0.6014
3.45   -0.25   -0.5984
3.46   -0.2   -0.5949
3.47   -0.15   -0.591
3.48   -0.1   -0.5866
3.49   -0.05   -0.5817
3.5   -1.532e-13   -0.5764
3.51   0.05   -0.5706
3.52   0.1   -0.5644
3.53   0.15   -0.5578
3.54   0.2   -0.5507
3.55   0.25   -0.5432
3.56   0.3   -0.5353
3.57   0.35   -0.5269
3.58   0.4   -0.5181
3.59   0.45   -0.509
3.6   0.5   -0.4994
3.61   0.55   -0.4894
3.62   0.6   -0.479
3.63   0.65   -0.4682
3.64   0.7   -0.457
3.65   0.75   -0.4454
3.66   0.8   -0.4335
3.67   0.85   -0.4212
3.68   0.9   -0.4084
3.69   0.95   -0.3954
3.7   1   -0.3819
3.71   1.05   -0.3681
3.72   1.1   -0.3539
3.73   1.15   -0.3394
3.74   1.2   -0.3245
3.75   1.25   -0.3092
3.76   1.3   -0.2936
3.77   1.35   -0.2777
3.78   1.4   -0.2614
3.79   1.45   -0.2448
3.8   1.5   -0.2279
3.81   1.55   -0.2106
3.82   1.6   -0.193
3.83   1.65   -0.175
3.84   1.7   -0.1568
3.85   1.75   -0.1382
3.86   1.8   -0.1193
3.87   1.85   -0.1002
3.88   1.9   -0.08065
3.89   1.95   -0.06084
3.9   2   -0.04073
3.91   2.05   -0.02033
3.92   2.1   0.0003759
3.93   2.15   0.02137
3.94   2.2   0.04266
3.95   2.25   0.06423
3.96   2.3   0.08609
3.97   2.35   0.1082
3.98   2.4   0.1306
3.99   2.45   0.1533
4   2.5   0.1763
4.01   2.45   0.1995
4.02   2.4   0.222
4.03   2.35   0.2438
4.04   2.3   0.2649
4.05   2.25   0.2852
4.06   2.2   0.3049
4.07   2.15   0.3238
4.08   2.1   0.3421
4.09   2.05   0.3597
4.1   2   0.3766
4.11   1.95   0.3928
4.12   1.9   0.4084
4.13   1.85   0.4233
4.14   1.8   0.4376
4.15   1.75   0.4512
4.16   1.7   0.4642
4.17   1.65   0.4765
4.18   1.6   0.4883
4.19   1.55   0.4994
4.2   1.5   0.5099
4.21   1.45   0.5198
4.22   1.4   0.5291
4.23   1.35   0.5378
4.24   1.3   0.5459
4.25   1.25   0.5535
4.26   1.2   0.5604
4.27   1.15   0.5668
4.28   1.1   0.5727
4.29   1.05   0.5779
4.3   1   0.5827
4.31   0.95   0.5868
4.32   0.9   0.5905
4.33   0.85   0.5936
4.34   0.8   0.5961
4.35   0.75   0.5982
4.36   0.7   0.5997
4.37   0.65   0.6007
4.38   0.6   0.6012
4.39   0.55   0.6012
4.4   0.5   0.6007
4.41   0.45   0.5996
4.42   0.4   0.5982
4.43   0.35   0.5962
4.44   0.3   0.5937
4.45   0.25   0.5908
4.46   0.2   0.5874
4.47   0.15   0.5835
4.48   0.1   0.5792
4.49   0.05   0.5744
4.5   2.576e-13   0.5691
4.51   -0.05   0.5634
4.52   -0.1   0.5573
4.53   -0.15   0.5507
4.54   -0.2   0.5437
4.55   -0.25   0.5363
4.56   -0.3   0.5284
4.57   -0.35   0.5201
4.58   -0.4   0.5114
4.59   -0.45   0.5023
4.6   -0.5   0.4928
4.61   -0.55   0.4829
4.62   -0.6   0.4725
4.63   -0.65   0.4618
4.64   -0.7   0.4507
4.65   -0.75   0.4392
4.66   -0.8   0.4273
4.67   -0.85   0.415
4.68   -0.9   0.4024
4.69   -0.95   0.3893
4.7   -1   0.376
4.71   -1.05   0.3622
4.72   -1.1   0.3481
4.73   -1.15   0.3336
4.74   -1.2   0.3188
4.75   -1.25   0.3036
4.76   -1.3   0.288
4.77   -1.35   0.2722
4.78   -1.4   0.2559
4.79   -1.45   0.2394
4.8   -1.5   0.2225
4.81   -1.55   0.2053
4.82   -1.6   0.1877
4.83   -1.65   0.1698
4.84   -1.7   0.1516
4.85   -1.75   0.1331
4.86   -1.8   0.1143
4.87   -1.85   0.09513
4.88   -1.9   0.07568
4.89   -1.95   0.05593
4.9   -2   0.03587
4.91   -2.05   0.01551
4.92   -2.1   -0.005147
4.93   -2.15   -0.0261
4.94   -2.2   -0.04733
4.95   -2.25   -0.06886
4.96   -2.3   -0.09067
4.97   -2.35   -0.1128
4.98   -2.4   -0.1351
4.99   -2.45   -0.1578
5   -2.5   -0.1807
5.01   -2.45   -0.2039
5.02   -2.4   -0.2264
5.03   -2.35   -0.2481
5.04   -2.3   -0.2691
5.05   -2.25   -0.2894
5.06   -2.2   -0.309
5.07   -2.15   -0.3279
5.08   -2.1   -0.3462
5.09   -2.05   -0.3637
5.1   -2   -0.3806
5.11   -1.95   -0.3968
5.12   -1.9   -0.4123
5.13   -1.85   -0.4272
5.14   -1.8   -0.4414
5.15   -1.75   -0.455
5.16   -1.7   -0.4679
5.17   -1.65   -0.4803
5.18   -1.6   -0.492
5.19   -1.55   -0.503
5.2   -1.5   -0.5135
5.21   -1.45   -0.5234
5.22   -1.4   -0.5326
5.23   -1.35   -0.5413
5.24   -1.3   -0.5494
5.25   -1.25   -0.5569
5.26   -1.2   -0.5638
5.27   -1.15   -0.5702
5.28   -1.1   -0.576
5.29   -1.05   -0.5812
5.3   -1   -0.5859
5.31   -0.95   -0.5901
5.32   -0.9   -0.5937
5.33   -0.85   -0.5967
5.34   -0.8   -0.5993
5.35   -0.75   -0.6013
5.36   -0.7   -0.6027
5.37   -0.65   -0.6037
5.38   -0.6   -0.6042
5.39   -0.55   -0.6041
5.4   -0.5   -0.6036
5.41   -0.45   -0.6026
5.42   -0.4   -0.601
5.43   -0.35   -0.599
5.44   -0.3   -0.5965
5.45   -0.25   -0.5936
5.46   -0.2   -0.5901
5.47   -0.15   -0.5862
5.48   -0.1   -0.5819
5.49   -0.05   -0.5771
5.5   -3.642e-13   -0.5718
5.51   0.05   -0.5661
5.52   0.1   -0.5599
5.53   0.15   -0.5533
5.54   0.2   -0.5463
5.55   0.25   -0.5388
5.56   0.3   -0.5309
5.57   0.35   -0.5226
5.58   0.4   -0.5139
5.59   0.45   -0.5047
5.6   0.5   -0.4952
