#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
2.08   5   1.915   0.8731
2.09   5   1.942   0.8682
2.1   5   1.969   0.8632
2.11   5   1.996   0.8581
2.12   5   2.024   0.8529
2.13   5   2.051   0.8477
2.14   5   2.078   0.8423
2.15   5   2.106   0.8369
2.16   5   2.133   0.8314
2.17   5   2.161   0.8258
2.18   5   2.188   0.8201
2.19   5   2.216   0.8143
2.2   5   2.243   0.8085
2.21   5   2.271   0.8026
2.22   5   2.298   0.7966
2.23   5   2.326   0.7905
2.24   5   2.353   0.7843
2.25   5   2.381   0.7781
2.26   5   2.408   0.7718
2.27   5   2.435   0.7654
2.28   5   2.463   0.7589
2.29   5   2.49   0.7523
2.3   5   2.518   0.7457
2.31   5   2.545   0.739
2.32   5   2.572   0.7322
2.33   5   2.6   0.7254
2.34   5   2.627   0.7185
2.35   5   2.654   0.7115
2.36   5   2.681   0.7044
2.37   5   2.709   0.6973
2.38   5   2.736   0.6901
2.39   5   2.763   0.6828
2.4   5   2.79   0.6755
2.41   5   2.817   0.6681
2.42   5   2.844   0.6606
2.43   5   2.871   0.653
2.44   5   2.898   0.6454
2.45   5   2.924   0.6378
2.46   5   2.951   0.63
2.47   5   2.978   0.6222
2.48   5   3.004   0.6144
2.49   5   3.031   0.6065
2.5   5   3.058   0.5985
2.51   5   3.084   0.5904
2.52   5   3.11   0.5823
2.53   5   3.137   0.5742
2.54   5   3.163   0.566
2.55   5   3.189   0.5577
2.56   5   3.215   0.5494
2.57   5   3.241   0.541
2.58   5   3.267   0.5325
2.59   5   3.293   0.524
2.6   5   3.318   0.5155
2.61   5   3.344   0.5069
2.62   5   3.37   0.4983
2.63   5   3.395   0.4896
2.64   5   3.42   0.4808
2.65   5   3.446   0.472
2.66   5   3.471   0.4632
2.67   5   3.496   0.4543
2.68   5   3.521   0.4454
2.69   5   3.546   0.4364
2.7   5   3.571   0.4274
2.71   5   3.595   0.4183
2.72   5   3.62   0.4092
2.73   5   3.644   0.4001
2.74   5   3.669   0.3909
2.75   5   3.693   0.3817
2.76   5   3.717   0.3724
2.77   5   3.741   0.3631
2.78   5   3.765   0.3538
2.79   5   3.789   0.3444
2.8   5   3.812   0.335
2.81   5   3.836   0.3255
2.82   5   3.86   0.3161
2.83   5   3.883   0.3066
2.84   5   3.906   0.297
2.85   5   3.929   0.2875
2.86   5   3.952   0.2779
2.87   5   3.975   0.2683
2.88   5   3.998   0.2586
2.89   5   4.02   0.2489
2.9   5   4.043   0.2392
2.91   5   4.065   0.2295
2.92   5   4.087   0.2198
2.93   5   4.11   0.21
2.94   5   4.132   0.2002
2.95   5   4.153   0.1904
2.96   5   4.175   0.1806
2.97   5   4.197   0.1708
2.98   5   4.218   0.1609
2.99   5   4.239   0.151
3   5   4.261   0.1411
3.01   0   4.282   0.1312
3.02   0   4.303   0.1213
3.03   0   4.323   0.1114
3.04   0   4.342   0.1014
3.05   0   4.361   0.09146
3.06   0   4.38   0.0815
3.07   0   4.398   0.07153
3.08   0   4.415   0.06155
3.09   0   4.431   0.05157
3.1   0   4.447   0.04158
3.11   0   4.463   0.03159
3.12   0   4.477   0.02159
3.13   0   4.491   0.01159
3.14   0   4.505   0.001593
3.15   0   4.518   -0.008407
3.16   0   4.53   -0.01841
3.17   0   4.542   -0.0284
3.18   0   4.553   -0.0384
3.19   0   4.564   -0.04839
3.2   0   4.574   -0.05837
3.21   0   4.584   -0.06835
3.22   0   4.593   -0.07833
3.23   0   4.601   -0.08829
3.24   0   4.609   -0.09825
3.25   0   4.616   -0.1082
3.26   0   4.623   -0.1181
3.27   0   4.629   -0.1281
3.28   0   4.635   -0.138
3.29   0   4.64   -0.1479
3.3   0   4.645   -0.1577
3.31   0   4.649   -0.1676
3.32   0   4.653   -0.1775
3.33   0   4.656   -0.1873
3.34   0   4.659   -0.1971
3.35   0   4.661   -0.2069
3.36   0   4.663   -0.2167
3.37   0   4.664   -0.2264
3.38   0   4.665   -0.2362
3.39   0   4.665   -0.2459
3.4   0   4.665   -0.2555
3.41   0   4.665   -0.2652
3.42   0   4.663   -0.2748
3.43   0   4.662   -0.2844
3.44   0   4.66   -0.294
3.45   0   4.658   -0.3035
3.46   0   4.655   -0.3131
3.47   0   4.651   -0.3225
3.48   0   4.648   -0.332
3.49   0   4.643   -0.3414
3.5   0   4.639   -0.3508
3.51   0   4.634   -0.3601
3.52   0   4.628   -0.3694
3.53   0   4.622   -0.3787
3.54   0   4.616   -0.388
3.55   0   4.61   -0.3971
3.56   0   4.602   -0.4063
3.57   0   4.595   -0.4154
3.58   0   4.587   -0.4245
3.59   0   4.579   -0.4335
3.6   0   4.57   -0.4425
3.61   0   4.561   -0.4515
3.62   0   4.552   -0.4604
3.63   0   4.542   -0.4692
3.64   0   4.532   -0.478
3.65   0   4.522   -0.4868
3.66   0   4.511   -0.4955
3.67   0   4.5   -0.5042
3.68   0   4.489   -0.5128
3.69   0   4.477   -0.5213
3.7   0   4.465   -0.5298
3.71   0   4.452   -0.5383
3.72   0   4.44   -0.5467
3.73   0   4.427   -0.555
3.74   0   4.413   -0.5633
3.75   0   4.4   -0.5716
3.76   0   4.386   -0.5797
3.77   0   4.371   -0.5879
3.78   0   4.357   -0.5959
3.79   0   4.342   -0.6039
3.8   0   4.327   -0.6119
3.81   0   4.311   -0.6197
3.82   0   4.296   -0.6276
3.83   0   4.28   -0.6353
3.84   0   4.263   -0.643
3.85   0   4.247   -0.6506
3.86   0   4.23   -0.6582
3.87   0   4.213   -0.6657
3.88   0   4.196   -0.6731
3.89   0   4.178   -0.6805
3.9   0   4.16   -0.6878
3.91   0   4.142   -0.695
3.92   0   4.124   -0.7021
3.93   0   4.105   -0.7092
3.94   0   4.087   -0.7162
3.95   0   4.068   -0.7232
3.96   0   4.049   -0.7301
3.97   0   4.029   -0.7369
3.98   0   4.01   -0.7436
3.99   0   3.99   -0.7502
4   0   3.97   -0.7568
4.01   0   3.95   -0.7633
4.02   0   3.929   -0.7697
4.03   0   3.909   -0.7761
4.04   0   3.888   -0.7823
4.05   0   3.867   -0.7885
4.06   0   3.846   -0.7946
4.07   0   3.824   -0.8007
4.08   0   3.803   -0.8066
4.09   0   3.781   -0.8125
4.1   0   3.759   -0.8183
4.11   0   3.737   -0.824
4.12   0   3.715   -0.8296
4.13   0   3.693   -0.8352
4.14   0   3.671   -0.8406
4.15   0   3.648   -0.846
4.16   0   3.625   -0.8513
4.17   0   3.602   -0.8565
4.18   0   3.579   -0.8616
4.19   0   3.556   -0.8666
4.2   0   3.533   -0.8716
4.21   0   3.51   -0.8764
4.22   0   3.486   -0.8812
4.23   0   3.462   -0.8859
4.24   0   3.439   -0.8905
4.25   0   3.415   -0.895
4.26   0   3.391   -0.8994
4.27   0   3.367   -0.9037
4.28   0   3.343   -0.908
4.29   0   3.319   -0.9121
4.3   0   3.294   -0.9162
4.31   0   3.27   -0.9201
4.32   0   3.245   -0.924
4.33   0   3.221   -0.9278
4.34   0   3.196   -0.9315
4.35   0   3.171   -0.9351
4.36   0   3.147   -0.9386
4.37   0   3.122   -0.942
4.38   0   3.097   -0.9453
4.39   0   3.072   -0.9485
4.4   0   3.047   -0.9516
4.41   0   3.022   -0.9546
4.42   0   2.996   -0.9576
4.43   0   2.971   -0.9604
4.44   0   2.946   -0.9631
4.45   0   2.921   -0.9658
4.46   0   2.895   -0.9683
4.47   0   2.87   -0.9708
4.48   0   2.844   -0.9731
4.49   0   2.819   -0.9754
4.5   0   2.793   -0.9775
4.51   0   2.768   -0.9796
4.52   0   2.742   -0.9816
4.53   0   2.717   -0.9834
4.54   0   2.691   -0.9852
4.55   0   2.666   -0.9868
4.56   0   2.64   -0.9884
4.57   0   2.614   -0.9899
4.58   0   2.589   -0.9912
4.59   0   2.563   -0.9925
4.6   0   2.537   -0.9937
4.61   0   2.512   -0.9948
4.62   0   2.486   -0.9957
4.63   0   2.46   -0.9966
4.64   0   2.435   -0.9974
4.65   0   2.409   -0.9981
4.66   0   2.384   -0.9986
4.67   0   2.358   -0.9991
4.68   0   2.332   -0.9995
4.69   0   2.307   -0.9997
4.7   0   2.281   -0.9999
4.71   0   2.256   -1
4.72   0   2.23   -1
4.73   0   2.205   -0.9998
4.74   0   2.18   -0.9996
4.75   0   2.154   -0.9993
4.76   0   2.129   -0.9989
4.77   0   2.104   -0.9983
4.78   0   2.078   -0.9977
4.79   0   2.053   -0.997
4.8   0   2.028   -0.9962
4.81   0   2.003   -0.9952
4.82   0   1.978   -0.9942
4.83   0   1.953   -0.9931
4.84   0   1.928   -0.9919
4.85   0   1.903   -0.9905
4.86   0   1.878   -0.9891
4.87   0   1.853   -0.9876
4.88   0   1.828   -0.986
4.89   0   1.804   -0.9843
4.9   0   1.779   -0.9825
4.91   0   1.754   -0.9805
4.92   0   1.73   -0.9785
4.93   0   1.705   -0.9764
4.94   0   1.681   -0.9742
4.95   0   1.657   -0.9719
4.96   0   1.633   -0.9695
4.97   0   1.608   -0.967
4.98   0   1.584   -0.9644
4.99   0   1.56   -0.9617
5   0   1.537   -0.9589
5.01   0   1.513   -0.956
5.02   0   1.489   -0.9531
5.03   0   1.465   -0.95
5.04   0   1.442   -0.9468
5.05   0   1.418   -0.9435
5.06   0   1.395   -0.9402
5.07   0   1.372   -0.9367
5.08   0   1.349   -0.9332
5.09   0   1.325   -0.9295
5.1   0   1.302   -0.9258
5.11   0   1.28   -0.922
5.12   0   1.257   -0.9181
5.13   0   1.234   -0.9141
5.14   0   1.212   -0.91
5.15   0   1.189   -0.9058
5.16   0   1.167   -0.9015
5.17   0   1.144   -0.8971
5.18   0   1.122   -0.8926
5.19   0   1.1   -0.8881
5.2   0   1.078   -0.8835
5.21   0   1.056   -0.8787
5.22   0   1.035   -0.8739
5.23   0   1.013   -0.869
5.24   0   0.9914   -0.864
5.25   0   0.97   -0.8589
5.26   0   0.9487   -0.8538
5.27   0   0.9275   -0.8485
5.28   0   0.9065   -0.8432
5.29   0   0.8855   -0.8378
5.3   0   0.8647   -0.8323
5.31   0   0.844   -0.8267
5.32   0   0.8234   -0.821
5.33   0   0.803   -0.8153
5.34   0   0.7826   -0.8094
5.35   0   0.7624   -0.8035
5.36   0   0.7423   -0.7975
5.37   0   0.7224   -0.7915
5.38   0   0.7025   -0.7853
5.39   0   0.6828   -0.7791
5.4   0   0.6632   -0.7728
5.41   0   0.6438   -0.7664
5.42   0   0.6244   -0.7599
5.43   0   0.6052   -0.7534
5.44   0   0.5862   -0.7468
5.45   0   0.5672   -0.7401
5.46   0   0.5484   -0.7333
5.47   0   0.5297   -0.7265
5.48   0   0.5112   -0.7196
5.49   0   0.4928   -0.7126
5.5   0   0.4745   -0.7055
5.51   0   0.4563   -0.6984
5.52   0   0.4383   -0.6912
5.53   0   0.4204   -0.684
5.54   0   0.4027   -0.6766
5.55   0   0.3851   -0.6692
5.56   0   0.3676   -0.6618
5.57   0   0.3503   -0.6542
5.58   0   0.3331   -0.6467
5.59   0   0.316   -0.639
5.6   0   0.2991   -0.6313
5.61   0   0.2823   -0.6235
5.62   0   0.2656   -0.6156
5.63   0   0.2491   -0.6077
5.64   0   0.2328   -0.5997
5.65   0   0.2165   -0.5917
5.66   0   0.2004   -0.5836
5.67   0   0.1845   -0.5755
5.68   0   0.1687   -0.5673
5.69   0   0.153   -0.559
5.7   0   0.1374   -0.5507
5.71   0   0.122   -0.5423
5.72   0   0.1068   -0.5339
5.73   0   0.09167   -0.5254
5.74   0   0.07669   -0.5169
5.75   0   0.06186   -0.5083
5.76   0   0.04716   -0.4996
5.77   0   0.03261   -0.491
5.78   0   0.0182   -0.4822
5.79   0   0.003923   -0.4734
5.8   0   -0.01021   -0.4646
5.81   0   -0.0242   -0.4557
5.82   0   -0.03805   -0.4468
5.83   0   -0.05176   -0.4378
5.84   0   -0.06533   -0.4288
5.85   0   -0.07875   -0.4198
5.86   0   -0.09204   -0.4107
5.87   0   -0.1052   -0.4015
5.88   0   -0.1182   -0.3924
5.89   0   -0.1311   -0.3831
5.9   0   -0.1438   -0.3739
5.91   0   -0.1564   -0.3646
5.92   0   -0.1688   -0.3553
5.93   0   -0.1811   -0.3459
5.94   0   -0.1933   -0.3365
5.95   0   -0.2053   -0.3271
5.96   0   -0.2172   -0.3176
5.97   0   -0.2289   -0.3081
5.98   0   -0.2405   -0.2986
5.99   0   -0.252   -0.289
6   0   -0.2633   -0.2794
6.01   0   -0.2745   -0.2698
6.02   0   -0.2856   -0.2602
6.03   0   -0.2965   -0.2505
6.04   0   -0.3073   -0.2408
6.05   0   -0.3179   -0.2311
6.06   0   -0.3284   -0.2213
6.07   0   -0.3388   -0.2116
6.08   0   -0.349   -0.2018
6.09   0   -0.3591   -0.192
6.1   0   -0.369   -0.1822
6.11   0   -0.3789   -0.1723
6.12   0   -0.3885   -0.1625
6.13   0   -0.3981   -0.1526
6.14   0   -0.4075   -0.1427
6.15   0   -0.4168   -0.1328
6.16   0   -0.4259   -0.1229
6.17   0   -0.435   -0.1129
6.18   0   -0.4438   -0.103
6.19   0   -0.4526   -0.09305
6.2   0   -0.4612   -0.08309
6.21   0   -0.4697   -0.07312
6.22   0   -0.478   -0.06314
6.23   0   -0.4863   -0.05316
6.24   0   -0.4944   -0.04317
6.25   0   -0.5023   -0.03318
6.26   0   -0.5102   -0.02318
6.27   0   -0.5179   -0.01318
6.28   0   -0.5255   -0.003185
6.29   0   -0.5329   0.006815
6.3   0   -0.5402   0.01681
6.31   0   -0.5474   0.02681
6.32   0   -0.5545   0.03681
