#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   ESM   Vs   
3.17   5   1.878
3.18   5   1.863
3.19   5   1.849
3.2   5   1.834
3.21   5   1.819
3.22   5   1.805
3.23   5   1.79
3.24   5   1.775
3.25   5   1.76
3.26   5   1.745
3.27   5   1.73
3.28   5   1.716
3.29   5   1.701
3.3   5   1.686
3.31   5   1.671
3.32   5   1.656
3.33   5   1.641
3.34   5   1.626
3.35   5   1.61
3.36   5   1.595
3.37   5   1.58
3.38   5   1.565
3.39   5   1.55
3.4   5   1.535
3.41   5   1.52
3.42   5   1.505
3.43   5   1.49
3.44   5   1.475
3.45   5   1.46
3.46   5   1.444
3.47   5   1.429
3.48   5   1.414
3.49   5   1.399
3.5   5   1.384
3.51   5   1.369
3.52   5   1.354
3.53   5   1.339
3.54   5   1.324
3.55   5   1.309
3.56   5   1.294
3.57   5   1.279
3.58   5   1.264
3.59   5   1.249
3.6   5   1.234
3.61   5   1.219
3.62   5   1.205
3.63   5   1.19
3.64   5   1.175
3.65   5   1.16
3.66   5   1.145
3.67   5   1.131
3.68   5   1.116
3.69   5   1.101
3.7   5   1.087
3.71   5   1.072
3.72   5   1.058
3.73   5   1.043
3.74   5   1.029
3.75   5   1.014
3.76   5   1
3.77   5   0.9856
3.78   5   0.9713
3.79   5   0.9571
3.8   5   0.9429
3.81   5   0.9288
3.82   5   0.9146
3.83   5   0.9006
3.84   5   0.8866
3.85   5   0.8726
3.86   5   0.8587
3.87   5   0.8449
3.88   5   0.8311
3.89   5   0.8173
3.9   5   0.8036
3.91   5   0.79
3.92   5   0.7764
3.93   5   0.7629
3.94   5   0.7494
3.95   5   0.736
3.96   5   0.7226
3.97   5   0.7094
3.98   5   0.6961
3.99   5   0.683
4   5   0.6699
4.01   5   0.6568
4.02   5   0.6438
4.03   5   0.6309
4.04   5   0.6181
4.05   5   0.6053
4.06   5   0.5926
4.07   5   0.5799
4.08   5   0.5673
4.09   5   0.5548
4.1   5   0.5423
4.11   5   0.53
4.12   5   0.5177
4.13   5   0.5054
4.14   5   0.4932
4.15   5   0.4811
4.16   5   0.4691
4.17   5   0.4572
4.18   5   0.4453
4.19   5   0.4335
4.2   5   0.4217
4.21   5   0.4101
4.22   5   0.3985
4.23   5   0.387
4.24   5   0.3755
4.25   5   0.3642
4.26   5   0.3529
4.27   5   0.3417
4.28   5   0.3305
4.29   5   0.3195
4.3   5   0.3085
4.31   5   0.2976
4.32   5   0.2868
4.33   5   0.276
4.34   5   0.2654
4.35   5   0.2548
4.36   5   0.2443
4.37   5   0.2339
4.38   5   0.2235
4.39   5   0.2132
4.4   5   0.2031
4.41   5   0.193
4.42   5   0.1829
4.43   5   0.173
4.44   5   0.1631
4.45   5   0.1533
4.46   5   0.1436
4.47   5   0.134
4.48   5   0.1245
4.49   5   0.115
4.5   5   0.1057
4.51   5   0.09637
4.52   5   0.08716
4.53   5   0.07803
4.54   5   0.06899
4.55   5   0.06003
4.56   5   0.05115
4.57   5   0.04236
4.58   5   0.03365
4.59   5   0.02502
4.6   5   0.01647
4.61   5   0.008007
4.62   5   -0.0003738
4.63   5   -0.008671
4.64   5   -0.01689
4.65   5   -0.02502
4.66   5   -0.03307
4.67   5   -0.04103
4.68   5   -0.04891
4.69   5   -0.05671
4.7   5   -0.06443
4.71   5   -0.07206
4.72   5   -0.07961
4.73   5   -0.08708
4.74   5   -0.09447
4.75   5   -0.1018
4.76   5   -0.109
4.77   5   -0.1161
4.78   5   -0.1232
4.79   5   -0.1302
4.8   5   -0.1371
4.81   5   -0.1439
4.82   5   -0.1506
4.83   5   -0.1572
4.84   5   -0.1638
4.85   5   -0.1703
4.86   5   -0.1767
4.87   5   -0.183
4.88   5   -0.1892
4.89   5   -0.1954
4.9   5   -0.2015
4.91   5   -0.2075
4.92   5   -0.2134
4.93   5   -0.2192
4.94   5   -0.225
4.95   5   -0.2307
4.96   5   -0.2363
4.97   5   -0.2418
4.98   5   -0.2472
4.99   5   -0.2526
5   5   -0.2579
5.01   5   -0.2631
5.02   5   -0.2682
5.03   5   -0.2733
5.04   5   -0.2783
5.05   5   -0.2832
5.06   5   -0.288
5.07   5   -0.2927
5.08   5   -0.2974
5.09   5   -0.302
5.1   5   -0.3065
5.11   5   -0.3109
5.12   5   -0.3153
5.13   5   -0.3196
5.14   5   -0.3238
5.15   5   -0.3279
5.16   5   -0.332
5.17   5   -0.336
5.18   5   -0.3399
5.19   5   -0.3438
5.2   5   -0.3476
5.21   5   -0.3513
5.22   5   -0.3549
5.23   5   -0.3585
5.24   5   -0.3619
5.25   5   -0.3654
5.26   5   -0.3687
5.27   5   -0.372
5.28   5   -0.3752
5.29   5   -0.3783
5.3   5   -0.3814
5.31   5   -0.3844
5.32   5   -0.3874
5.33   5   -0.3902
5.34   5   -0.393
5.35   5   -0.3958
5.36   5   -0.3984
5.37   5   -0.401
5.38   5   -0.4035
5.39   5   -0.406
5.4   5   -0.4084
5.41   5   -0.4108
5.42   5   -0.413
5.43   5   -0.4152
5.44   5   -0.4174
5.45   5   -0.4195
5.46   5   -0.4215
5.47   5   -0.4235
5.48   5   -0.4254
5.49   5   -0.4272
5.5   5   -0.429
5.51   5   -0.4307
5.52   5   -0.4323
5.53   5   -0.4339
5.54   5   -0.4355
5.55   5   -0.4369
5.56   5   -0.4384
5.57   5   -0.4397
5.58   5   -0.441
5.59   5   -0.4423
5.6   5   -0.4435
5.61   5   -0.4446
5.62   5   -0.4457
5.63   5   -0.4467
5.64   5   -0.4477
5.65   5   -0.4486
5.66   5   -0.4494
5.67   5   -0.4502
5.68   5   -0.451
5.69   5   -0.4517
5.7   5   -0.4523
5.71   5   -0.4529
5.72   5   -0.4535
5.73   5   -0.454
5.74   5   -0.4544
5.75   5   -0.4548
5.76   5   -0.4552
5.77   5   -0.4555
5.78   5   -0.4557
5.79   5   -0.4559
5.8   5   -0.4561
5.81   5   -0.4562
5.82   5   -0.4562
5.83   5   -0.4562
5.84   5   -0.4562
5.85   5   -0.4561
5.86   5   -0.456
5.87   5   -0.4558
5.88   5   -0.4556
5.89   5   -0.4554
5.9   5   -0.4551
5.91   5   -0.4547
5.92   5   -0.4544
5.93   5   -0.4539
5.94   5   -0.4535
5.95   5   -0.453
5.96   5   -0.4524
5.97   5   -0.4518
5.98   5   -0.4512
5.99   5   -0.4505
6   5   -0.4498
6.01   5   -0.4491
6.02   5   -0.4483
6.03   5   -0.4475
6.04   5   -0.4466
6.05   5   -0.4458
6.06   5   -0.4448
6.07   5   -0.4439
6.08   5   -0.4429
6.09   5   -0.4418
6.1   5   -0.4408
6.11   5   -0.4397
6.12   5   -0.4386
6.13   5   -0.4374
6.14   5   -0.4362
6.15   5   -0.435
6.16   5   -0.4337
6.17   5   -0.4324
6.18   5   -0.4311
6.19   5   -0.4298
6.2   5   -0.4284
6.21   5   -0.427
6.22   5   -0.4255
6.23   5   -0.4241
6.24   5   -0.4226
6.25   5   -0.4211
6.26   5   -0.4195
6.27   5   -0.4179
6.28   5   -0.4163
6.29   5   -0.4147
6.3   5   -0.4131
6.31   5   -0.4114
6.32   5   -0.4097
6.33   5   -0.4079
6.34   5   -0.4062
6.35   5   -0.4044
6.36   5   -0.4026
6.37   5   -0.4008
6.38   5   -0.399
6.39   5   -0.3971
6.4   5   -0.3952
6.41   5   -0.3933
6.42   5   -0.3914
6.43   5   -0.3895
6.44   5   -0.3875
6.45   5   -0.3855
6.46   5   -0.3835
6.47   5   -0.3815
6.48   5   -0.3794
6.49   5   -0.3774
6.5   5   -0.3753
6.51   5   -0.3732
6.52   5   -0.3711
6.53   5   -0.369
6.54   5   -0.3669
6.55   5   -0.3647
6.56   5   -0.3625
6.57   5   -0.3603
6.58   5   -0.3581
6.59   5   -0.3559
6.6   5   -0.3537
6.61   5   -0.3515
6.62   5   -0.3492
6.63   5   -0.3469
6.64   5   -0.3447
6.65   5   -0.3424
6.66   5   -0.3401
6.67   5   -0.3378
6.68   5   -0.3354
6.69   5   -0.3331
6.7   5   -0.3308
6.71   5   -0.3284
6.72   5   -0.326
6.73   5   -0.3237
6.74   5   -0.3213
6.75   5   -0.3189
6.76   5   -0.3165
6.77   5   -0.3141
6.78   5   -0.3117
6.79   5   -0.3093
6.8   5   -0.3068
6.81   5   -0.3044
6.82   5   -0.3019
6.83   5   -0.2995
6.84   5   -0.297
6.85   5   -0.2946
6.86   5   -0.2921
6.87   5   -0.2897
6.88   5   -0.2872
6.89   5   -0.2847
6.9   5   -0.2822
6.91   5   -0.2797
6.92   5   -0.2772
6.93   5   -0.2748
6.94   5   -0.2723
6.95   5   -0.2698
6.96   5   -0.2673
6.97   5   -0.2648
6.98   5   -0.2623
6.99   5   -0.2598
7   5   -0.2573
7.01   5   -0.2547
7.02   5   -0.2522
7.03   5   -0.2497
7.04   5   -0.2472
7.05   5   -0.2447
7.06   5   -0.2422
7.07   5   -0.2397
7.08   5   -0.2372
7.09   5   -0.2347
7.1   5   -0.2322
7.11   5   -0.2297
7.12   5   -0.2272
7.13   5   -0.2247
7.14   5   -0.2222
7.15   5   -0.2197
7.16   5   -0.2172
7.17   5   -0.2147
7.18   5   -0.2122
7.19   5   -0.2098
7.2   5   -0.2073
7.21   5   -0.2048
7.22   5   -0.2023
7.23   5   -0.1999
7.24   5   -0.1974
7.25   5   -0.195
7.26   5   -0.1925
7.27   5   -0.1901
7.28   5   -0.1876
7.29   5   -0.1852
7.3   5   -0.1827
7.31   5   -0.1803
7.32   5   -0.1779
7.33   5   -0.1755
7.34   5   -0.1731
7.35   5   -0.1707
7.36   5   -0.1683
7.37   5   -0.1659
7.38   5   -0.1635
7.39   5   -0.1612
7.4   5   -0.1588
7.41   5   -0.1564
7.42   5   -0.1541
7.43   5   -0.1517
7.44   5   -0.1494
7.45   5   -0.1471
7.46   5   -0.1448
7.47   5   -0.1425
7.48   5   -0.1402
7.49   5   -0.1379
7.5   5   -0.1356
7.51   5   -0.1333
7.52   5   -0.1311
7.53   5   -0.1288
7.54   5   -0.1266
7.55   5   -0.1243
7.56   5   -0.1221
7.57   5   -0.1199
7.58   5   -0.1177
7.59   5   -0.1155
7.6   5   -0.1133
7.61   5   -0.1111
7.62   5   -0.1089
7.63   5   -0.1068
7.64   5   -0.1046
7.65   5   -0.1025
7.66   5   -0.1004
7.67   5   -0.09828
7.68   5   -0.09618
7.69   5   -0.09409
7.7   5   -0.09202
7.71   5   -0.08995
7.72   5   -0.08789
7.73   5   -0.08585
7.74   5   -0.08382
7.75   5   -0.0818
7.76   5   -0.07979
7.77   5   -0.07779
7.78   5   -0.07581
7.79   5   -0.07384
7.8   5   -0.07188
7.81   5   -0.06993
7.82   5   -0.06799
7.83   5   -0.06607
7.84   5   -0.06416
7.85   5   -0.06226
7.86   5   -0.06038
7.87   5   -0.0585
7.88   5   -0.05664
7.89   5   -0.0548
7.9   5   -0.05296
7.91   5   -0.05114
7.92   5   -0.04933
7.93   5   -0.04753
7.94   5   -0.04575
7.95   5   -0.04398
7.96   5   -0.04222
7.97   5   -0.04048
7.98   5   -0.03875
7.99   5   -0.03703
8   5   -0.03533
8.01   5   -0.03364
8.02   5   -0.03196
8.03   5   -0.0303
8.04   5   -0.02865
8.05   5   -0.02701
8.06   5   -0.02539
8.07   5   -0.02378
8.08   5   -0.02218
8.09   5   -0.0206
8.1   5   -0.01903
8.11   5   -0.01747
8.12   5   -0.01593
8.13   5   -0.0144
8.14   5   -0.01289
8.15   5   -0.01139
8.16   5   -0.0099
8.17   5   -0.008427
8.18   5   -0.006967
8.19   5   -0.005521
8.2   5   -0.004089
8.21   5   -0.002671
8.22   5   -0.001267
8.23   5   0.0001241
8.24   5   0.001501
8.25   5   0.002864
8.26   5   0.004214
8.27   5   0.005549
8.28   5   0.006871
8.29   5   0.008179
8.3   5   0.009473
8.31   5   0.01075
8.32   5   0.01202
8.33   5   0.01327
8.34   5   0.01451
8.35   5   0.01574
8.36   5   0.01695
8.37   5   0.01815
8.38   5   0.01933
8.39   5   0.0205
8.4   5   0.02166
8.41   5   0.0228
8.42   5   0.02393
8.43   5   0.02505
8.44   5   0.02615
8.45   5   0.02724
8.46   5   0.02832
8.47   5   0.02938
8.48   5   0.03043
8.49   5   0.03147
8.5   5   0.03249
8.51   5   0.0335
8.52   5   0.03449
8.53   5   0.03547
8.54   5   0.03644
8.55   5   0.0374
8.56   5   0.03834
8.57   5   0.03927
8.58   5   0.04019
8.59   5   0.04109
8.6   5   0.04198
8.61   5   0.04285
8.62   5   0.04372
8.63   5   0.04457
8.64   5   0.04541
8.65   5   0.04623
8.66   5   0.04705
8.67   5   0.04785
8.68   5   0.04863
8.69   5   0.04941
8.7   5   0.05017
8.71   5   0.05092
8.72   5   0.05165
8.73   5   0.05238
8.74   5   0.05309
8.75   5   0.05379
8.76   5   0.05448
8.77   5   0.05515
8.78   5   0.05581
8.79   5   0.05647
8.8   5   0.0571
8.81   5   0.05773
8.82   5   0.05835
8.83   5   0.05895
8.84   5   0.05954
8.85   5   0.06012
8.86   5   0.06068
8.87   5   0.06124
8.88   5   0.06178
8.89   5   0.06232
8.9   5   0.06284
8.91   5   0.06335
8.92   5   0.06384
8.93   5   0.06433
8.94   5   0.06481
8.95   5   0.06527
8.96   5   0.06572
8.97   5   0.06617
8.98   5   0.0666
8.99   5   0.06702
9   5   0.06743
9.01   5   0.06782
9.02   5   0.06821
9.03   5   0.06859
9.04   5   0.06896
9.05   5   0.06931
9.06   5   0.06966
9.07   5   0.06999
9.08   5   0.07032
9.09   5   0.07063
9.1   5   0.07094
9.11   5   0.07123
9.12   5   0.07151
9.13   5   0.07179
9.14   5   0.07205
9.15   5   0.07231
9.16   5   0.07255
9.17   5   0.07279
9.18   5   0.07301
9.19   5   0.07323
9.2   5   0.07344
9.21   5   0.07363
9.22   5   0.07382
9.23   5   0.074
9.24   5   0.07417
9.25   5   0.07433
9.26   5   0.07448
9.27   5   0.07462
9.28   5   0.07476
9.29   5   0.07488
9.3   5   0.075
9.31   5   0.0751
9.32   5   0.0752
9.33   5   0.07529
9.34   5   0.07538
9.35   5   0.07545
9.36   5   0.07551
9.37   5   0.07557
9.38   5   0.07562
9.39   5   0.07566
9.4   5   0.07569
9.41   5   0.07572
9.42   5   0.07574
9.43   5   0.07575
9.44   5   0.07575
9.45   5   0.07574
9.46   5   0.07573
9.47   5   0.07571
9.48   5   0.07568
9.49   5   0.07564
9.5   5   0.0756
9.51   5   0.07555
9.52   5   0.07549
9.53   5   0.07543
9.54   5   0.07536
9.55   5   0.07528
9.56   5   0.0752
9.57   5   0.07511
9.58   5   0.07501
9.59   5   0.0749
9.6   5   0.07479
9.61   5   0.07468
9.62   5   0.07455
9.63   5   0.07442
9.64   5   0.07429
9.65   5   0.07415
9.66   5   0.074
9.67   5   0.07384
9.68   5   0.07368
9.69   5   0.07352
9.7   5   0.07335
9.71   5   0.07317
9.72   5   0.07299
9.73   5   0.0728
9.74   5   0.07261
9.75   5   0.07241
9.76   5   0.07221
9.77   5   0.072
9.78   5   0.07178
9.79   5   0.07156
9.8   5   0.07134
9.81   5   0.07111
9.82   5   0.07088
9.83   5   0.07064
9.84   5   0.07039
9.85   5   0.07015
9.86   5   0.06989
9.87   5   0.06964
9.88   5   0.06937
9.89   5   0.06911
9.9   5   0.06884
9.91   5   0.06856
9.92   5   0.06828
9.93   5   0.068
9.94   5   0.06772
9.95   5   0.06743
9.96   5   0.06713
9.97   5   0.06683
9.98   5   0.06653
9.99   5   0.06622
10   5   0.06592
10.01   5   0.0656
