#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
1.95   5   3.076
1.96   5   3.095
1.97   5   3.114
1.98   5   3.133
1.99   5   3.151
2   5   3.17
2.01   5   3.188
2.02   5   3.206
2.03   5   3.224
2.04   5   3.242
2.05   5   3.26
2.06   5   3.277
2.07   5   3.294
2.08   5   3.311
2.09   5   3.328
2.1   5   3.345
2.11   5   3.361
2.12   5   3.378
2.13   5   3.394
2.14   5   3.41
2.15   5   3.426
2.16   5   3.442
2.17   5   3.457
2.18   5   3.473
2.19   5   3.488
2.2   5   3.503
2.21   5   3.518
2.22   5   3.533
2.23   5   3.548
2.24   5   3.562
2.25   5   3.576
2.26   5   3.591
2.27   5   3.605
2.28   5   3.619
2.29   5   3.633
2.3   5   3.646
2.31   5   3.66
2.32   5   3.673
2.33   5   3.686
2.34   5   3.7
2.35   5   3.713
2.36   5   3.725
2.37   5   3.738
2.38   5   3.751
2.39   5   3.763
2.4   5   3.776
2.41   5   3.788
2.42   5   3.8
2.43   5   3.812
2.44   5   3.824
2.45   5   3.836
2.46   5   3.847
2.47   5   3.859
2.48   5   3.87
2.49   5   3.882
2.5   5   3.893
2.51   5   3.904
2.52   5   3.915
2.53   5   3.926
2.54   5   3.936
2.55   5   3.947
2.56   5   3.958
2.57   5   3.968
2.58   5   3.978
2.59   5   3.988
2.6   5   3.999
2.61   5   4.009
2.62   5   4.019
2.63   5   4.028
2.64   5   4.038
2.65   5   4.048
2.66   5   4.057
2.67   5   4.067
2.68   5   4.076
2.69   5   4.085
2.7   5   4.094
2.71   5   4.103
2.72   5   4.112
2.73   5   4.121
2.74   5   4.13
2.75   5   4.139
2.76   5   4.147
2.77   5   4.156
2.78   5   4.164
2.79   5   4.173
2.8   5   4.181
2.81   5   4.189
2.82   5   4.197
2.83   5   4.205
2.84   5   4.213
2.85   5   4.221
2.86   5   4.229
2.87   5   4.237
2.88   5   4.244
2.89   5   4.252
2.9   5   4.259
2.91   5   4.267
2.92   5   4.274
2.93   5   4.281
2.94   5   4.288
2.95   5   4.296
2.96   5   4.303
2.97   5   4.31
2.98   5   4.316
2.99   5   4.323
3   5   4.33
3.01   0   4.337
3.02   0   4.293
3.03   0   4.25
3.04   0   4.208
3.05   0   4.166
3.06   0   4.124
3.07   0   4.083
3.08   0   4.042
3.09   0   4.002
3.1   0   3.962
3.11   0   3.922
3.12   0   3.883
3.13   0   3.844
3.14   0   3.806
3.15   0   3.768
3.16   0   3.73
3.17   0   3.693
3.18   0   3.656
3.19   0   3.619
3.2   0   3.583
3.21   0   3.547
3.22   0   3.512
3.23   0   3.477
3.24   0   3.442
3.25   0   3.407
3.26   0   3.373
3.27   0   3.34
3.28   0   3.306
3.29   0   3.273
3.3   0   3.24
3.31   0   3.208
3.32   0   3.176
3.33   0   3.144
3.34   0   3.113
3.35   0   3.082
3.36   0   3.051
3.37   0   3.02
3.38   0   2.99
3.39   0   2.96
3.4   0   2.931
3.41   0   2.901
3.42   0   2.872
3.43   0   2.843
3.44   0   2.815
3.45   0   2.787
3.46   0   2.759
3.47   0   2.731
3.48   0   2.704
3.49   0   2.677
3.5   0   2.65
3.51   0   2.624
3.52   0   2.598
3.53   0   2.572
3.54   0   2.546
3.55   0   2.52
3.56   0   2.495
3.57   0   2.47
3.58   0   2.446
3.59   0   2.421
3.6   0   2.397
3.61   0   2.373
3.62   0   2.349
3.63   0   2.326
3.64   0   2.302
3.65   0   2.279
3.66   0   2.257
3.67   0   2.234
3.68   0   2.212
3.69   0   2.19
3.7   0   2.168
3.71   0   2.146
3.72   0   2.125
3.73   0   2.103
3.74   0   2.082
3.75   0   2.061
3.76   0   2.041
3.77   0   2.02
3.78   0   2
3.79   0   1.98
3.8   0   1.96
3.81   0   1.941
3.82   0   1.921
3.83   0   1.902
3.84   0   1.883
3.85   0   1.864
3.86   0   1.846
3.87   0   1.827
3.88   0   1.809
3.89   0   1.791
3.9   0   1.773
3.91   0   1.755
3.92   0   1.738
3.93   0   1.72
3.94   0   1.703
3.95   0   1.686
3.96   0   1.669
3.97   0   1.653
3.98   0   1.636
3.99   0   1.62
4   0   1.603
4.01   0   1.587
4.02   0   1.572
4.03   0   1.556
4.04   0   1.54
4.05   0   1.525
4.06   0   1.51
4.07   0   1.495
4.08   0   1.48
4.09   0   1.465
4.1   0   1.45
4.11   0   1.436
4.12   0   1.421
4.13   0   1.407
4.14   0   1.393
4.15   0   1.379
4.16   0   1.365
4.17   0   1.352
4.18   0   1.338
4.19   0   1.325
4.2   0   1.311
4.21   0   1.298
4.22   0   1.285
4.23   0   1.273
4.24   0   1.26
4.25   0   1.247
4.26   0   1.235
4.27   0   1.222
4.28   0   1.21
4.29   0   1.198
4.3   0   1.186
4.31   0   1.174
4.32   0   1.162
4.33   0   1.151
4.34   0   1.139
4.35   0   1.128
4.36   0   1.117
4.37   0   1.105
4.38   0   1.094
4.39   0   1.083
4.4   0   1.073
4.41   0   1.062
4.42   0   1.051
4.43   0   1.041
4.44   0   1.03
4.45   0   1.02
4.46   0   1.01
4.47   0   0.9998
4.48   0   0.9898
4.49   0   0.9799
4.5   0   0.9701
4.51   0   0.9604
4.52   0   0.9508
4.53   0   0.9413
4.54   0   0.9319
4.55   0   0.9225
4.56   0   0.9133
4.57   0   0.9042
4.58   0   0.8951
4.59   0   0.8862
4.6   0   0.8773
4.61   0   0.8686
4.62   0   0.8599
4.63   0   0.8513
4.64   0   0.8428
4.65   0   0.8343
4.66   0   0.826
4.67   0   0.8177
4.68   0   0.8096
4.69   0   0.8015
4.7   0   0.7934
4.71   0   0.7855
4.72   0   0.7777
4.73   0   0.7699
4.74   0   0.7622
4.75   0   0.7546
4.76   0   0.747
4.77   0   0.7395
4.78   0   0.7321
4.79   0   0.7248
4.8   0   0.7176
4.81   0   0.7104
4.82   0   0.7033
4.83   0   0.6963
4.84   0   0.6893
4.85   0   0.6824
4.86   0   0.6756
4.87   0   0.6688
4.88   0   0.6621
4.89   0   0.6555
4.9   0   0.649
4.91   0   0.6425
4.92   0   0.6361
4.93   0   0.6297
4.94   0   0.6234
4.95   0   0.6172
4.96   0   0.611
4.97   0   0.6049
4.98   0   0.5988
4.99   0   0.5928
5   0   0.5869
5.01   0   0.581
5.02   0   0.5752
5.03   0   0.5695
5.04   0   0.5638
5.05   0   0.5581
5.06   0   0.5526
5.07   0   0.547
5.08   0   0.5416
5.09   0   0.5362
5.1   0   0.5308
5.11   0   0.5255
5.12   0   0.5202
5.13   0   0.515
5.14   0   0.5099
5.15   0   0.5048
5.16   0   0.4997
5.17   0   0.4947
5.18   0   0.4898
5.19   0   0.4849
5.2   0   0.48
5.21   0   0.4752
5.22   0   0.4705
5.23   0   0.4658
5.24   0   0.4611
5.25   0   0.4565
5.26   0   0.4519
5.27   0   0.4474
5.28   0   0.443
5.29   0   0.4385
5.3   0   0.4341
5.31   0   0.4298
5.32   0   0.4255
5.33   0   0.4212
5.34   0   0.417
5.35   0   0.4129
5.36   0   0.4087
5.37   0   0.4046
5.38   0   0.4006
5.39   0   0.3966
5.4   0   0.3926
5.41   0   0.3887
5.42   0   0.3848
5.43   0   0.381
5.44   0   0.3772
5.45   0   0.3734
5.46   0   0.3697
5.47   0   0.366
5.48   0   0.3623
5.49   0   0.3587
5.5   0   0.3551
5.51   0   0.3515
5.52   0   0.348
5.53   0   0.3445
5.54   0   0.3411
5.55   0   0.3377
5.56   0   0.3343
5.57   0   0.331
5.58   0   0.3277
5.59   0   0.3244
5.6   0   0.3211
5.61   0   0.3179
5.62   0   0.3147
5.63   0   0.3116
5.64   0   0.3085
5.65   0   0.3054
5.66   0   0.3023
5.67   0   0.2993
5.68   0   0.2963
5.69   0   0.2934
5.7   0   0.2904
5.71   0   0.2875
5.72   0   0.2846
5.73   0   0.2818
5.74   0   0.279
5.75   0   0.2762
5.76   0   0.2734
5.77   0   0.2707
5.78   0   0.268
5.79   0   0.2653
5.8   0   0.2627
5.81   0   0.26
5.82   0   0.2574
5.83   0   0.2549
5.84   0   0.2523
5.85   0   0.2498
5.86   0   0.2473
5.87   0   0.2448
5.88   0   0.2424
5.89   0   0.2399
5.9   0   0.2375
5.91   0   0.2352
5.92   0   0.2328
5.93   0   0.2305
5.94   0   0.2282
5.95   0   0.2259
5.96   0   0.2236
5.97   0   0.2214
5.98   0   0.2192
5.99   0   0.217
6   0   0.2148
6.01   0   0.2127
6.02   0   0.2106
6.03   0   0.2084
6.04   0   0.2064
6.05   0   0.2043
6.06   0   0.2023
6.07   0   0.2002
6.08   0   0.1982
6.09   0   0.1962
6.1   0   0.1943
6.11   0   0.1923
6.12   0   0.1904
6.13   0   0.1885
6.14   0   0.1866
6.15   0   0.1848
6.16   0   0.1829
6.17   0   0.1811
6.18   0   0.1793
6.19   0   0.1775
6.2   0   0.1757
6.21   0   0.174
6.22   0   0.1722
6.23   0   0.1705
6.24   0   0.1688
6.25   0   0.1671
6.26   0   0.1654
6.27   0   0.1638
6.28   0   0.1621
6.29   0   0.1605
6.3   0   0.1589
6.31   0   0.1573
6.32   0   0.1557
6.33   0   0.1542
6.34   0   0.1526
6.35   0   0.1511
6.36   0   0.1496
6.37   0   0.1481
6.38   0   0.1466
6.39   0   0.1452
6.4   0   0.1437
6.41   0   0.1423
6.42   0   0.1409
6.43   0   0.1394
6.44   0   0.1381
6.45   0   0.1367
6.46   0   0.1353
6.47   0   0.134
6.48   0   0.1326
6.49   0   0.1313
6.5   0   0.13
6.51   0   0.1287
6.52   0   0.1274
6.53   0   0.1261
6.54   0   0.1249
6.55   0   0.1236
6.56   0   0.1224
6.57   0   0.1211
6.58   0   0.1199
6.59   0   0.1187
6.6   0   0.1175
6.61   0   0.1164
6.62   0   0.1152
6.63   0   0.1141
6.64   0   0.1129
6.65   0   0.1118
6.66   0   0.1107
6.67   0   0.1096
6.68   0   0.1085
6.69   0   0.1074
6.7   0   0.1063
6.71   0   0.1052
6.72   0   0.1042
6.73   0   0.1031
6.74   0   0.1021
6.75   0   0.1011
6.76   0   0.1001
6.77   0   0.09908
6.78   0   0.09809
6.79   0   0.09711
6.8   0   0.09614
6.81   0   0.09518
6.82   0   0.09423
6.83   0   0.09329
6.84   0   0.09235
6.85   0   0.09143
6.86   0   0.09051
6.87   0   0.08961
6.88   0   0.08871
6.89   0   0.08783
6.9   0   0.08695
6.91   0   0.08608
6.92   0   0.08522
6.93   0   0.08437
6.94   0   0.08352
6.95   0   0.08269
6.96   0   0.08186
6.97   0   0.08104
6.98   0   0.08023
6.99   0   0.07943
7   0   0.07863
7.01   0   0.07785
7.02   0   0.07707
7.03   0   0.0763
7.04   0   0.07554
7.05   0   0.07478
7.06   0   0.07403
7.07   0   0.07329
7.08   0   0.07256
7.09   0   0.07183
7.1   0   0.07112
7.11   0   0.0704
7.12   0   0.0697
7.13   0   0.069
7.14   0   0.06831
7.15   0   0.06763
7.16   0   0.06695
7.17   0   0.06628
7.18   0   0.06562
7.19   0   0.06497
7.2   0   0.06432
7.21   0   0.06367
7.22   0   0.06304
7.23   0   0.06241
7.24   0   0.06178
7.25   0   0.06116
7.26   0   0.06055
7.27   0   0.05995
7.28   0   0.05935
7.29   0   0.05875
7.3   0   0.05817
7.31   0   0.05758
7.32   0   0.05701
7.33   0   0.05644
7.34   0   0.05587
7.35   0   0.05532
7.36   0   0.05476
7.37   0   0.05421
7.38   0   0.05367
7.39   0   0.05314
7.4   0   0.0526
7.41   0   0.05208
7.42   0   0.05156
7.43   0   0.05104
7.44   0   0.05053
7.45   0   0.05003
7.46   0   0.04953
7.47   0   0.04903
7.48   0   0.04854
7.49   0   0.04805
7.5   0   0.04757
7.51   0   0.0471
7.52   0   0.04663
7.53   0   0.04616
7.54   0   0.0457
7.55   0   0.04524
7.56   0   0.04479
7.57   0   0.04434
7.58   0   0.0439
7.59   0   0.04346
7.6   0   0.04303
7.61   0   0.0426
7.62   0   0.04217
7.63   0   0.04175
7.64   0   0.04133
7.65   0   0.04092
7.66   0   0.04051
7.67   0   0.0401
7.68   0   0.0397
7.69   0   0.0393
7.7   0   0.03891
7.71   0   0.03852
7.72   0   0.03814
7.73   0   0.03776
7.74   0   0.03738
7.75   0   0.037
7.76   0   0.03663
7.77   0   0.03627
7.78   0   0.03591
7.79   0   0.03555
7.8   0   0.03519
7.81   0   0.03484
7.82   0   0.03449
7.83   0   0.03415
7.84   0   0.0338
7.85   0   0.03347
7.86   0   0.03313
7.87   0   0.0328
7.88   0   0.03247
7.89   0   0.03215
7.9   0   0.03183
7.91   0   0.03151
7.92   0   0.03119
7.93   0   0.03088
7.94   0   0.03057
7.95   0   0.03027
7.96   0   0.02996
7.97   0   0.02966
7.98   0   0.02937
7.99   0   0.02907
8   0   0.02878
8.01   0   0.02849
8.02   0   0.02821
8.03   0   0.02793
8.04   0   0.02765
8.05   0   0.02737
8.06   0   0.0271
8.07   0   0.02683
8.08   0   0.02656
8.09   0   0.02629
8.1   0   0.02603
8.11   0   0.02577
8.12   0   0.02551
8.13   0   0.02526
8.14   0   0.025
8.15   0   0.02475
8.16   0   0.02451
8.17   0   0.02426
8.18   0   0.02402
8.19   0   0.02378
8.2   0   0.02354
8.21   0   0.02331
8.22   0   0.02307
8.23   0   0.02284
8.24   0   0.02261
8.25   0   0.02239
8.26   0   0.02216
8.27   0   0.02194
8.28   0   0.02172
8.29   0   0.02151
8.3   0   0.02129
8.31   0   0.02108
8.32   0   0.02087
8.33   0   0.02066
8.34   0   0.02045
8.35   0   0.02025
8.36   0   0.02004
8.37   0   0.01984
8.38   0   0.01965
8.39   0   0.01945
8.4   0   0.01925
8.41   0   0.01906
8.42   0   0.01887
8.43   0   0.01868
8.44   0   0.0185
8.45   0   0.01831
8.46   0   0.01813
8.47   0   0.01795
8.48   0   0.01777
8.49   0   0.01759
8.5   0   0.01741
8.51   0   0.01724
8.52   0   0.01707
8.53   0   0.0169
8.54   0   0.01673
8.55   0   0.01656
8.56   0   0.01639
8.57   0   0.01623
8.58   0   0.01607
8.59   0   0.01591
8.6   0   0.01575
8.61   0   0.01559
8.62   0   0.01544
8.63   0   0.01528
8.64   0   0.01513
8.65   0   0.01498
8.66   0   0.01483
8.67   0   0.01468
8.68   0   0.01453
8.69   0   0.01439
8.7   0   0.01424
8.71   0   0.0141
8.72   0   0.01396
8.73   0   0.01382
8.74   0   0.01368
8.75   0   0.01354
8.76   0   0.01341
8.77   0   0.01328
8.78   0   0.01314
8.79   0   0.01301
8.8   0   0.01288
8.81   0   0.01275
8.82   0   0.01262
8.83   0   0.0125
8.84   0   0.01237
8.85   0   0.01225
8.86   0   0.01213
8.87   0   0.01201
8.88   0   0.01189
8.89   0   0.01177
8.9   0   0.01165
8.91   0   0.01153
8.92   0   0.01142
8.93   0   0.0113
8.94   0   0.01119
8.95   0   0.01108
8.96   0   0.01097
8.97   0   0.01086
8.98   0   0.01075
8.99   0   0.01064
9   0   0.01054
9.01   0   0.01043
9.02   0   0.01033
9.03   0   0.01022
9.04   0   0.01012
9.05   0   0.01002
9.06   0   0.009919
9.07   0   0.00982
9.08   0   0.009721
9.09   0   0.009624
9.1   0   0.009528
9.11   0   0.009433
9.12   0   0.009338
9.13   0   0.009245
9.14   0   0.009153
9.15   0   0.009061
9.16   0   0.00897
9.17   0   0.008881
9.18   0   0.008792
9.19   0   0.008704
9.2   0   0.008617
9.21   0   0.008531
9.22   0   0.008445
9.23   0   0.008361
9.24   0   0.008277
9.25   0   0.008195
9.26   0   0.008113
9.27   0   0.008032
9.28   0   0.007951
9.29   0   0.007872
9.3   0   0.007793
9.31   0   0.007715
9.32   0   0.007638
9.33   0   0.007562
9.34   0   0.007486
9.35   0   0.007411
9.36   0   0.007337
9.37   0   0.007264
9.38   0   0.007191
9.39   0   0.007119
9.4   0   0.007048
9.41   0   0.006977
9.42   0   0.006908
9.43   0   0.006839
9.44   0   0.00677
9.45   0   0.006702
9.46   0   0.006635
9.47   0   0.006569
9.48   0   0.006503
9.49   0   0.006438
9.5   0   0.006374
9.51   0   0.00631
9.52   0   0.006247
9.53   0   0.006185
9.54   0   0.006123
9.55   0   0.006062
9.56   0   0.006001
9.57   0   0.005941
9.58   0   0.005882
9.59   0   0.005823
9.6   0   0.005765
9.61   0   0.005707
9.62   0   0.00565
9.63   0   0.005593
9.64   0   0.005537
9.65   0   0.005482
9.66   0   0.005427
9.67   0   0.005373
9.68   0   0.005319
9.69   0   0.005266
9.7   0   0.005213
9.71   0   0.005161
9.72   0   0.00511
9.73   0   0.005058
9.74   0   0.005008
9.75   0   0.004958
9.76   0   0.004908
9.77   0   0.004859
9.78   0   0.004811
9.79   0   0.004762
9.8   0   0.004715
9.81   0   0.004668
9.82   0   0.004621
9.83   0   0.004575
9.84   0   0.004529
9.85   0   0.004484
9.86   0   0.004439
9.87   0   0.004395
9.88   0   0.004351
9.89   0   0.004307
9.9   0   0.004264
9.91   0   0.004221
9.92   0   0.004179
9.93   0   0.004137
9.94   0   0.004096
9.95   0   0.004055
9.96   0   0.004014
9.97   0   0.003974
9.98   0   0.003935
9.99   0   0.003895
10   0   0.003856
10.01   0   0.003818
