#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
1.52   0.1   0.004269   0.1043
1.53   0.15   0.004227   0.1543
1.54   0.2   0.004184   0.2042
1.55   0.25   0.004143   0.2542
1.56   0.3   0.004101   0.3041
1.57   0.35   0.00406   0.3541
1.58   0.4   0.00402   0.4041
1.59   0.45   0.003979   0.454
1.6   0.5   0.00394   0.504
1.61   0.55   0.0039   0.5539
1.62   0.6   0.003861   0.6039
#Diode passante
1.63   0.65   0.003784   0.6577
1.64   0.7   0.004208   0.6576
1.65   0.75   0.005124   0.6584
1.66   0.8   0.006522   0.6602
1.67   0.85   0.008391   0.663
1.68   0.9   0.01072   0.6668
1.69   0.95   0.01351   0.6714
1.7   1   0.01674   0.677
1.71   1.05   0.0204   0.6835
1.72   1.1   0.0245   0.6908
1.73   1.15   0.02901   0.699
1.74   1.2   0.03393   0.708
1.75   1.25   0.03925   0.7179
1.76   1.3   0.04496   0.7285
1.77   1.35   0.05106   0.7399
1.78   1.4   0.05754   0.7521
1.79   1.45   0.06439   0.7651
1.8   1.5   0.0716   0.7788
1.81   1.55   0.07917   0.7932
1.82   1.6   0.08709   0.8083
1.83   1.65   0.09535   0.8242
1.84   1.7   0.1039   0.8407
1.85   1.75   0.1129   0.8579
1.86   1.8   0.1221   0.8757
1.87   1.85   0.1317   0.8942
1.88   1.9   0.1415   0.9133
1.89   1.95   0.1517   0.9331
1.9   2   0.1622   0.9534
1.91   2.05   0.1729   0.9743
1.92   2.1   0.184   0.9958
1.93   2.15   0.1953   1.018
1.94   2.2   0.2069   1.041
1.95   2.25   0.2187   1.064
1.96   2.3   0.2309   1.087
1.97   2.35   0.2432   1.112
1.98   2.4   0.2559   1.136
1.99   2.45   0.2688   1.162
2   2.5   0.2819   1.188
2.01   2.45   0.2953   1.114
2.02   2.4   0.3078   1.141
2.03   2.35   0.3197   1.166
2.04   2.3   0.3308   1.189
2.05   2.25   0.3412   1.212
2.06   2.2   0.3509   1.232
2.07   2.15   0.3598   1.252
2.08   2.1   0.3681   1.27
2.09   2.05   0.3758   1.286
2.1   2   0.3828   1.302
2.11   1.95   0.3891   1.316
2.12   1.9   0.3948   1.328
2.13   1.85   0.3999   1.34
2.14   1.8   0.4044   1.35
2.15   1.75   0.4083   1.359
2.16   1.7   0.4117   1.367
2.17   1.65   0.4144   1.373
