#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
2.84   0   1.932
2.85   0   1.913
2.86   0   1.893
2.87   0   1.874
2.88   0   1.856
2.89   0   1.837
2.9   0   1.819
2.91   0   1.801
2.92   0   1.783
2.93   0   1.765
2.94   0   1.747
2.95   0   1.73
2.96   0   1.712
2.97   0   1.695
2.98   0   1.678
2.99   0   1.662
3   0   1.645
3.01   5   1.628
3.02   5   1.662
3.03   5   1.696
3.04   5   1.729
3.05   5   1.761
3.06   5   1.794
3.07   5   1.826
3.08   5   1.858
3.09   5   1.889
3.1   5   1.92
3.11   5   1.951
3.12   5   1.981
3.13   5   2.012
3.14   5   2.041
3.15   5   2.071
3.16   5   2.1
3.17   5   2.129
3.18   5   2.158
3.19   5   2.186
3.2   5   2.215
3.21   5   2.242
3.22   5   2.27
3.23   5   2.297
3.24   5   2.324
3.25   5   2.351
3.26   5   2.378
3.27   5   2.404
3.28   5   2.43
3.29   5   2.455
3.3   5   2.481
3.31   5   2.506
3.32   5   2.531
3.33   5   2.556
3.34   5   2.58
3.35   5   2.604
3.36   5   2.628
3.37   5   2.652
3.38   5   2.675
3.39   5   2.699
3.4   5   2.722
3.41   5   2.745
3.42   5   2.767
3.43   5   2.789
3.44   5   2.812
3.45   5   2.833
3.46   5   2.855
3.47   5   2.877
3.48   5   2.898
3.49   5   2.919
3.5   5   2.94
3.51   5   2.96
3.52   5   2.981
3.53   5   3.001
3.54   5   3.021
3.55   5   3.041
3.56   5   3.06
3.57   5   3.08
3.58   5   3.099
3.59   5   3.118
3.6   5   3.137
3.61   5   3.155
3.62   5   3.174
3.63   5   3.192
3.64   5   3.21
3.65   5   3.228
3.66   5   3.246
3.67   5   3.263
3.68   5   3.281
3.69   5   3.298
3.7   5   3.315
3.71   5   3.332
3.72   5   3.348
3.73   5   3.365
3.74   5   3.381
3.75   5   3.397
3.76   5   3.413
3.77   5   3.429
