#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
1.6   0.5   -0.1651   0.9996
1.61   0.55   -0.1711   0.9992
1.62   0.6   -0.1771   0.9988
1.63   0.65   -0.1828   0.9982
1.64   0.7   -0.1885   0.9976
1.65   0.75   -0.194   0.9969
1.66   0.8   -0.1993   0.996
1.67   0.85   -0.2046   0.9951
1.68   0.9   -0.2096   0.994
1.69   0.95   -0.2145   0.9929
1.7   1   -0.2193   0.9917
1.71   1.05   -0.2239   0.9903
1.72   1.1   -0.2283   0.9889
1.73   1.15   -0.2325   0.9874
1.74   1.2   -0.2366   0.9857
1.75   1.25   -0.2405   0.984
1.76   1.3   -0.2442   0.9822
1.77   1.35   -0.2477   0.9802
1.78   1.4   -0.251   0.9782
1.79   1.45   -0.2542   0.9761
1.8   1.5   -0.2571   0.9738
1.81   1.55   -0.2598   0.9715
1.82   1.6   -0.2624   0.9691
1.83   1.65   -0.2647   0.9666
1.84   1.7   -0.2668   0.964
1.85   1.75   -0.2687   0.9613
1.86   1.8   -0.2704   0.9585
1.87   1.85   -0.2719   0.9556
1.88   1.9   -0.2731   0.9526
1.89   1.95   -0.2742   0.9495
1.9   2   -0.275   0.9463
1.91   2.05   -0.2755   0.943
1.92   2.1   -0.2759   0.9396
1.93   2.15   -0.276   0.9362
1.94   2.2   -0.2758   0.9326
1.95   2.25   -0.2755   0.929
1.96   2.3   -0.2748   0.9252
1.97   2.35   -0.274   0.9214
1.98   2.4   -0.2729   0.9174
1.99   2.45   -0.2715   0.9134
2   2.5   -0.2699   0.9093
2.01   2.45   -0.268   0.9051
2.02   2.4   -0.2658   0.9008
2.03   2.35   -0.2635   0.8964
2.04   2.3   -0.2608   0.8919
2.05   2.25   -0.258   0.8874
2.06   2.2   -0.2549   0.8827
2.07   2.15   -0.2516   0.878
2.08   2.1   -0.248   0.8731
2.09   2.05   -0.2443   0.8682
2.1   2   -0.2404   0.8632
2.11   1.95   -0.2363   0.8581
2.12   1.9   -0.232   0.8529
2.13   1.85   -0.2275   0.8477
2.14   1.8   -0.2228   0.8423
2.15   1.75   -0.218   0.8369
2.16   1.7   -0.2131   0.8314
2.17   1.65   -0.208   0.8258
2.18   1.6   -0.2027   0.8201
2.19   1.55   -0.1973   0.8143
2.2   1.5   -0.1918   0.8085
2.21   1.45   -0.1862   0.8026
2.22   1.4   -0.1805   0.7966
2.23   1.35   -0.1746   0.7905
2.24   1.3   -0.1687   0.7843
2.25   1.25   -0.1626   0.7781
2.26   1.2   -0.1565   0.7718
2.27   1.15   -0.1503   0.7654
2.28   1.1   -0.144   0.7589
2.29   1.05   -0.1377   0.7523
2.3   1   -0.1313   0.7457
2.31   0.95   -0.1248   0.739
2.32   0.9   -0.1183   0.7322
2.33   0.85   -0.1117   0.7254
2.34   0.8   -0.1051   0.7185
2.35   0.75   -0.09853   0.7115
2.36   0.7   -0.09188   0.7044
2.37   0.65   -0.08522   0.6973
2.38   0.6   -0.07855   0.6901
2.39   0.55   -0.07187   0.6828
2.4   0.5   -0.06518   0.6755
2.41   0.45   -0.05851   0.6681
2.42   0.4   -0.05184   0.6606
2.43   0.35   -0.04519   0.653
2.44   0.3   -0.03856   0.6454
2.45   0.25   -0.03195   0.6378
2.46   0.2   -0.02538   0.63
2.47   0.15   -0.01885   0.6222
2.48   0.1   -0.01236   0.6144
2.49   0.05   -0.005914   0.6065
2.5   4.663e-14   0.0004754   0.5985
2.51   -0.05   0.006807   0.5904
2.52   -0.1   0.01307   0.5823
2.53   -0.15   0.01927   0.5742
2.54   -0.2   0.0254   0.566
2.55   -0.25   0.03145   0.5577
2.56   -0.3   0.03741   0.5494
2.57   -0.35   0.04329   0.541
2.58   -0.4   0.04908   0.5325
2.59   -0.45   0.05476   0.524
2.6   -0.5   0.06035   0.5155
2.61   -0.55   0.06583   0.5069
2.62   -0.6   0.0712   0.4983
2.63   -0.65   0.07645   0.4896
2.64   -0.7   0.08159   0.4808
2.65   -0.75   0.0866   0.472
2.66   -0.8   0.09148   0.4632
2.67   -0.85   0.09623   0.4543
2.68   -0.9   0.1008   0.4454
2.69   -0.95   0.1053   0.4364
2.7   -1   0.1096   0.4274
2.71   -1.05   0.1138   0.4183
2.72   -1.1   0.1178   0.4092
2.73   -1.15   0.1217   0.4001
2.74   -1.2   0.1254   0.3909
2.75   -1.25   0.129   0.3817
2.76   -1.3   0.1323   0.3724
2.77   -1.35   0.1355   0.3631
2.78   -1.4   0.1386   0.3538
2.79   -1.45   0.1414   0.3444
2.8   -1.5   0.1441   0.335
2.81   -1.55   0.1466   0.3255
2.82   -1.6   0.1489   0.3161
2.83   -1.65   0.151   0.3066
2.84   -1.7   0.1529   0.297
2.85   -1.75   0.1546   0.2875
2.86   -1.8   0.1561   0.2779
2.87   -1.85   0.1574   0.2683
2.88   -1.9   0.1585   0.2586
2.89   -1.95   0.1593   0.2489
2.9   -2   0.16   0.2392
2.91   -2.05   0.1604   0.2295
2.92   -2.1   0.1607   0.2198
2.93   -2.15   0.1607   0.21
2.94   -2.2   0.1605   0.2002
2.95   -2.25   0.16   0.1904
2.96   -2.3   0.1593   0.1806
2.97   -2.35   0.1584   0.1708
2.98   -2.4   0.1572   0.1609
2.99   -2.45   0.1558   0.151
3   -2.5   0.1542   0.1411
3.01   -2.45   0.1523   0.1312
3.02   -2.4   0.1502   0.1213
3.03   -2.35   0.1478   0.1114
3.04   -2.3   0.1452   0.1014
3.05   -2.25   0.1424   0.09146
3.06   -2.2   0.1394   0.0815
3.07   -2.15   0.1361   0.07153
3.08   -2.1   0.1327   0.06155
3.09   -2.05   0.129   0.05157
3.1   -2   0.1252   0.04158
3.11   -1.95   0.1212   0.03159
3.12   -1.9   0.117   0.02159
3.13   -1.85   0.1127   0.01159
3.14   -1.8   0.1082   0.001593
3.15   -1.75   0.1035   -0.008407
3.16   -1.7   0.0987   -0.01841
3.17   -1.65   0.09376   -0.0284
3.18   -1.6   0.0887   -0.0384
3.19   -1.55   0.0835   -0.04839
3.2   -1.5   0.07819   -0.05837
3.21   -1.45   0.07278   -0.06835
3.22   -1.4   0.06725   -0.07833
3.23   -1.35   0.06163   -0.08829
3.24   -1.3   0.05592   -0.09825
3.25   -1.25   0.05013   -0.1082
3.26   -1.2   0.04426   -0.1181
3.27   -1.15   0.03831   -0.1281
3.28   -1.1   0.0323   -0.138
3.29   -1.05   0.02624   -0.1479
3.3   -1   0.02012   -0.1577
3.31   -0.95   0.01395   -0.1676
3.32   -0.9   0.007743   -0.1775
3.33   -0.85   0.001502   -0.1873
3.34   -0.8   -0.004767   -0.1971
3.35   -0.75   -0.01106   -0.2069
3.36   -0.7   -0.01737   -0.2167
3.37   -0.65   -0.02369   -0.2264
3.38   -0.6   -0.03001   -0.2362
3.39   -0.55   -0.03633   -0.2459
3.4   -0.5   -0.04265   -0.2555
3.41   -0.45   -0.04896   -0.2652
3.42   -0.4   -0.05525   -0.2748
3.43   -0.35   -0.06151   -0.2844
3.44   -0.3   -0.06775   -0.294
3.45   -0.25   -0.07395   -0.3035
3.46   -0.2   -0.08012   -0.3131
3.47   -0.15   -0.08624   -0.3225
3.48   -0.1   -0.09231   -0.332
3.49   -0.05   -0.09833   -0.3414
3.5   -1.532e-13   -0.1043   -0.3508
3.51   0.05   -0.1102   -0.3601
3.52   0.1   -0.116   -0.3694
3.53   0.15   -0.1218   -0.3787
3.54   0.2   -0.1274   -0.388
3.55   0.25   -0.133   -0.3971
3.56   0.3   -0.1385   -0.4063
3.57   0.35   -0.1439   -0.4154
3.58   0.4   -0.1492   -0.4245
3.59   0.45   -0.1544   -0.4335
3.6   0.5   -0.1595   -0.4425
3.61   0.55   -0.1645   -0.4515
3.62   0.6   -0.1694   -0.4604
3.63   0.65   -0.1741   -0.4692
3.64   0.7   -0.1788   -0.478
3.65   0.75   -0.1833   -0.4868
