#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
1.86   5   1.803   4.191
1.87   5   1.811   4.207
1.88   5   1.819   4.223
1.89   5   1.827   4.238
1.9   5   1.834   4.253
1.91   5   1.841   4.268
1.92   5   1.849   4.283
1.93   5   1.856   4.297
1.94   5   1.863   4.311
1.95   5   1.869   4.325
1.96   5   1.876   4.339
1.97   5   1.882   4.352
1.98   5   1.889   4.365
1.99   5   1.895   4.378
2   5   1.901   4.39
2.01   5   1.907   4.402
2.02   5   1.913   4.414
2.03   5   1.919   4.426
2.04   5   1.924   4.437
2.05   5   1.93   4.449
2.06   5   1.935   4.46
2.07   5   1.941   4.47
2.08   5   1.946   4.481
2.09   5   1.951   4.491
2.1   5   1.956   4.502
2.11   5   1.961   4.512
2.12   5   1.965   4.521
2.13   5   1.97   4.531
2.14   5   1.975   4.54
2.15   5   1.979   4.549
2.16   5   1.984   4.558
2.17   5   1.988   4.567
2.18   5   1.992   4.576
2.19   5   1.996   4.584
2.2   5   2   4.593
2.21   0   2.004   -0.3991
#Diode bloquee
2.22   0   1.984   2.004
#Diode passante
2.23   0   1.939   4.569
2.24   0   1.894   4.477
2.25   0   1.85   4.388
2.26   0   1.807   4.3
2.27   0   1.765   4.214
2.28   0   1.724   4.13
2.29   0   1.683   4.047
2.3   0   1.643   3.966
2.31   0   1.605   3.887
2.32   0   1.567   3.809
2.33   0   1.529   3.733
2.34   0   1.493   3.658
2.35   0   1.457   3.585
2.36   0   1.422   3.513
2.37   0   1.387   3.443
2.38   0   1.353   3.374
2.39   0   1.32   3.307
2.4   0   1.288   3.241
2.41   0   1.256   3.176
2.42   0   1.225   3.112
2.43   0   1.195   3.05
2.44   0   1.165   2.989
2.45   0   1.135   2.929
2.46   0   1.107   2.871
2.47   0   1.079   2.813
2.48   0   1.051   2.757
2.49   0   1.024   2.702
2.5   0   0.9975   2.648
2.51   0   0.9715   2.595
2.52   0   0.9461   2.543
2.53   0   0.9212   2.492
2.54   0   0.8968   2.442
2.55   0   0.8728   2.394
2.56   0   0.8494   2.346
2.57   0   0.8264   2.299
2.58   0   0.8038   2.253
2.59   0   0.7818   2.208
2.6   0   0.7601   2.164
2.61   0   0.7389   2.12
2.62   0   0.7182   2.078
2.63   0   0.6978   2.036
2.64   0   0.6778   1.996
2.65   0   0.6583   1.956
2.66   0   0.6391   1.917
2.67   0   0.6203   1.878
2.68   0   0.6019   1.841
2.69   0   0.5839   1.804
2.7   0   0.5662   1.768
2.71   0   0.5489   1.732
2.72   0   0.5319   1.698
2.73   0   0.5153   1.664
2.74   0   0.499   1.631
2.75   0   0.483   1.598
2.76   0   0.4673   1.566
2.77   0   0.452   1.535
2.78   0   0.4369   1.504
2.79   0   0.4222   1.474
2.8   0   0.4078   1.444
2.81   0   0.3936   1.416
2.82   0   0.3797   1.387
2.83   0   0.3661   1.359
2.84   0   0.3528   1.332
2.85   0   0.3398   1.306
2.86   0   0.327   1.28
2.87   0   0.3144   1.254
2.88   0   0.3021   1.229
2.89   0   0.2901   1.204
2.9   0   0.2783   1.18
2.91   0   0.2667   1.157
2.92   0   0.2554   1.133
2.93   0   0.2443   1.111
2.94   0   0.2334   1.089
2.95   0   0.2227   1.067
2.96   0   0.2123   1.045
2.97   0   0.202   1.025
2.98   0   0.192   1.004
2.99   0   0.1821   0.984
3   0   0.1725   0.9643
3.01   5   0.1631   5.945
3.02   5   0.2038   0.9261
3.03   5   0.2437   1.008
3.04   5   0.2828   1.087
3.05   5   0.3212   1.166
3.06   5   0.3588   1.242
3.07   5   0.3956   1.318
3.08   5   0.4317   1.391
3.09   5   0.467   1.463
3.1   5   0.5017   1.534
3.11   5   0.5357   1.603
3.12   5   0.569   1.671
3.13   5   0.6016   1.738
3.14   5   0.6335   1.803
3.15   5   0.6649   1.867
3.16   5   0.6956   1.93
3.17   5   0.7257   1.991
3.18   5   0.7551   2.051
3.19   5   0.784   2.11
3.2   5   0.8124   2.168
3.21   5   0.8401   2.225
3.22   5   0.8673   2.28
3.23   5   0.894   2.335
3.24   5   0.9201   2.388
3.25   5   0.9457   2.44
3.26   5   0.9708   2.491
3.27   5   0.9954   2.542
3.28   5   1.019   2.591
3.29   5   1.043   2.639
3.3   5   1.066   2.686
3.31   5   1.089   2.732
3.32   5   1.111   2.778
3.33   5   1.133   2.822
3.34   5   1.154   2.866
3.35   5   1.175   2.908
3.36   5   1.196   2.95
3.37   5   1.216   2.991
3.38   5   1.235   3.031
3.39   5   1.255   3.071
3.4   5   1.274   3.109
3.41   5   1.292   3.147
3.42   5   1.31   3.184
3.43   5   1.328   3.221
3.44   5   1.346   3.256
3.45   5   1.363   3.291
3.46   5   1.379   3.325
3.47   5   1.396   3.359
3.48   5   1.412   3.392
3.49   5   1.428   3.424
3.5   5   1.443   3.455
3.51   5   1.458   3.486
3.52   5   1.473   3.516
3.53   5   1.488   3.546
3.54   5   1.502   3.575
3.55   5   1.516   3.604
3.56   5   1.529   3.632
3.57   5   1.543   3.659
3.58   5   1.556   3.686
3.59   5   1.569   3.712
3.6   5   1.582   3.738
3.61   5   1.594   3.763
3.62   5   1.606   3.788
3.63   5   1.618   3.812
3.64   5   1.63   3.836
3.65   5   1.641   3.859
3.66   5   1.652   3.882
3.67   5   1.663   3.904
3.68   5   1.674   3.926
3.69   5   1.684   3.948
3.7   5   1.695   3.969
3.71   5   1.705   3.989
3.72   5   1.715   4.01
3.73   5   1.724   4.029
3.74   5   1.734   4.049
3.75   5   1.743   4.068
3.76   5   1.752   4.086
3.77   5   1.761   4.105
3.78   5   1.77   4.123
3.79   5   1.779   4.14
3.8   5   1.787   4.157
3.81   5   1.795   4.174
3.82   5   1.803   4.191
3.83   5   1.811   4.207
3.84   5   1.819   4.223
3.85   5   1.827   4.238
3.86   5   1.834   4.254
3.87   5   1.842   4.268
3.88   5   1.849   4.283
3.89   5   1.856   4.297
3.9   5   1.863   4.311
3.91   5   1.869   4.325
3.92   5   1.876   4.339
3.93   5   1.882   4.352
3.94   5   1.889   4.365
3.95   5   1.895   4.378
3.96   5   1.901   4.39
3.97   5   1.907   4.402
3.98   5   1.913   4.414
3.99   5   1.919   4.426
4   5   1.924   4.437
4.01   5   1.93   4.449
4.02   5   1.935   4.46
4.03   5   1.941   4.471
4.04   5   1.946   4.481
4.05   5   1.951   4.491
4.06   5   1.956   4.502
4.07   5   1.961   4.512
4.08   5   1.965   4.521
4.09   5   1.97   4.531
