#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   ESM   Vs   
2.7   0   -0.7507
2.71   0   -0.7727
2.72   0   -0.7944
2.73   0   -0.8157
2.74   0   -0.8368
2.75   0   -0.8576
2.76   0   -0.878
2.77   0   -0.8982
2.78   0   -0.9181
2.79   0   -0.9378
2.8   0   -0.9571
2.81   0   -0.9761
2.82   0   -0.9949
2.83   0   -1.013
2.84   0   -1.032
2.85   0   -1.049
2.86   0   -1.067
2.87   0   -1.084
2.88   0   -1.101
2.89   0   -1.118
2.9   0   -1.135
2.91   0   -1.151
2.92   0   -1.167
2.93   0   -1.183
2.94   0   -1.198
2.95   0   -1.213
2.96   0   -1.228
2.97   0   -1.243
2.98   0   -1.257
2.99   0   -1.271
3   0   -1.285
3.01   5   -1.298
3.02   5   -1.311
3.03   5   -1.274
3.04   5   -1.238
3.05   5   -1.201
3.06   5   -1.165
3.07   5   -1.129
3.08   5   -1.093
3.09   5   -1.058
3.1   5   -1.022
3.11   5   -0.9872
3.12   5   -0.9523
3.13   5   -0.9178
3.14   5   -0.8835
3.15   5   -0.8494
3.16   5   -0.8156
3.17   5   -0.782
3.18   5   -0.7487
3.19   5   -0.7157
3.2   5   -0.6829
3.21   5   -0.6504
3.22   5   -0.6181
3.23   5   -0.5861
3.24   5   -0.5543
3.25   5   -0.5228
3.26   5   -0.4916
3.27   5   -0.4606
3.28   5   -0.4299
3.29   5   -0.3994
3.3   5   -0.3692
3.31   5   -0.3393
3.32   5   -0.3096
3.33   5   -0.2802
3.34   5   -0.251
3.35   5   -0.2222
3.36   5   -0.1935
3.37   5   -0.1652
3.38   5   -0.1371
3.39   5   -0.1093
3.4   5   -0.0817
3.41   5   -0.0544
3.42   5   -0.02736
3.43   5   -0.000593
3.44   5   0.02591
3.45   5   0.05215
3.46   5   0.07813
3.47   5   0.1038
3.48   5   0.1293
3.49   5   0.1545
3.5   5   0.1794
3.51   5   0.204
3.52   5   0.2284
3.53   5   0.2525
3.54   5   0.2764
3.55   5   0.3
3.56   5   0.3233
3.57   5   0.3464
3.58   5   0.3692
3.59   5   0.3917
3.6   5   0.414
3.61   5   0.436
3.62   5   0.4578
3.63   5   0.4793
3.64   5   0.5005
3.65   5   0.5215
3.66   5   0.5422
3.67   5   0.5626
3.68   5   0.5828
3.69   5   0.6028
3.7   5   0.6225
3.71   5   0.6419
3.72   5   0.661
3.73   5   0.68
3.74   5   0.6986
3.75   5   0.717
3.76   5   0.7352
3.77   5   0.7531
3.78   5   0.7707
3.79   5   0.7881
3.8   5   0.8052
3.81   5   0.8221
3.82   5   0.8387
3.83   5   0.8551
3.84   5   0.8713
3.85   5   0.8872
3.86   5   0.9028
3.87   5   0.9182
3.88   5   0.9334
3.89   5   0.9483
3.9   5   0.963
3.91   5   0.9774
3.92   5   0.9916
3.93   5   1.006
3.94   5   1.019
3.95   5   1.033
3.96   5   1.046
3.97   5   1.059
3.98   5   1.072
3.99   5   1.084
4   5   1.097
4.01   5   1.109
4.02   5   1.121
4.03   5   1.132
4.04   5   1.143
4.05   5   1.155
4.06   5   1.166
4.07   5   1.176
4.08   5   1.187
4.09   5   1.197
4.1   5   1.207
4.11   5   1.217
4.12   5   1.226
4.13   5   1.236
4.14   5   1.245
4.15   5   1.254
4.16   5   1.263
4.17   5   1.271
4.18   5   1.28
4.19   5   1.288
4.2   5   1.296
4.21   0   1.303
4.22   0   1.311
4.23   0   1.268
4.24   0   1.226
4.25   0   1.183
4.26   0   1.142
4.27   0   1.1
4.28   0   1.059
4.29   0   1.018
4.3   0   0.9773
4.31   0   0.9369
4.32   0   0.8969
4.33   0   0.8572
4.34   0   0.8178
4.35   0   0.7787
4.36   0   0.7399
4.37   0   0.7014
4.38   0   0.6633
4.39   0   0.6254
4.4   0   0.5879
4.41   0   0.5507
4.42   0   0.5137
4.43   0   0.4771
4.44   0   0.4409
4.45   0   0.4049
4.46   0   0.3692
4.47   0   0.3339
4.48   0   0.2989
4.49   0   0.2642
4.5   0   0.2298
4.51   0   0.1957
4.52   0   0.1619
4.53   0   0.1285
4.54   0   0.09539
4.55   0   0.06259
4.56   0   0.03011
4.57   0   -0.002052
4.58   0   -0.0339
4.59   0   -0.06542
4.6   0   -0.09663
4.61   0   -0.1275
4.62   0   -0.1581
4.63   0   -0.1883
4.64   0   -0.2183
4.65   0   -0.2479
4.66   0   -0.2772
4.67   0   -0.3062
4.68   0   -0.3348
4.69   0   -0.3632
4.7   0   -0.3912
4.71   0   -0.4189
4.72   0   -0.4463
4.73   0   -0.4734
4.74   0   -0.5001
4.75   0   -0.5266
4.76   0   -0.5527
4.77   0   -0.5785
4.78   0   -0.604
4.79   0   -0.6292
4.8   0   -0.6541
4.81   0   -0.6787
4.82   0   -0.7029
4.83   0   -0.7269
4.84   0   -0.7505
4.85   0   -0.7739
4.86   0   -0.7969
4.87   0   -0.8196
4.88   0   -0.842
