#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
3.12   5   4.406
3.13   5   4.412
3.14   5   4.418
3.15   5   4.424
3.16   5   4.43
3.17   5   4.435
3.18   5   4.441
3.19   5   4.447
3.2   5   4.452
3.21   5   4.458
3.22   5   4.463
3.23   5   4.468
3.24   5   4.474
3.25   5   4.479
3.26   5   4.484
3.27   5   4.489
3.28   5   4.494
3.29   5   4.499
3.3   5   4.504
3.31   5   4.509
3.32   5   4.514
3.33   5   4.519
3.34   5   4.524
3.35   5   4.529
3.36   5   4.533
3.37   5   4.538
3.38   5   4.543
3.39   5   4.547
3.4   5   4.552
3.41   5   4.556
3.42   5   4.561
3.43   5   4.565
3.44   5   4.57
3.45   5   4.574
3.46   5   4.578
3.47   5   4.582
3.48   5   4.586
3.49   5   4.591
3.5   5   4.595
3.51   5   4.599
3.52   5   4.603
3.53   5   4.607
3.54   5   4.611
3.55   5   4.615
3.56   5   4.618
3.57   5   4.622
3.58   5   4.626
3.59   5   4.63
3.6   5   4.633
3.61   5   4.637
3.62   5   4.641
3.63   5   4.644
3.64   5   4.648
3.65   5   4.651
3.66   5   4.655
3.67   5   4.658
3.68   5   4.662
3.69   5   4.665
3.7   5   4.669
3.71   5   4.672
3.72   5   4.675
3.73   5   4.678
3.74   5   4.682
3.75   5   4.685
3.76   5   4.688
3.77   5   4.691
3.78   5   4.694
3.79   5   4.697
3.8   5   4.7
3.81   5   4.703
3.82   5   4.706
3.83   5   4.709
3.84   5   4.712
3.85   5   4.715
