#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   ESM   Vs   
2.17   1.65   -0.4095
2.18   1.6   -0.3883
2.19   1.55   -0.3678
2.2   1.5   -0.348
2.21   1.45   -0.3288
2.22   1.4   -0.3103
2.23   1.35   -0.2924
2.24   1.3   -0.2752
2.25   1.25   -0.2586
2.26   1.2   -0.2427
2.27   1.15   -0.2274
2.28   1.1   -0.2127
2.29   1.05   -0.1987
2.3   1   -0.1852
2.31   0.95   -0.1724
2.32   0.9   -0.1602
2.33   0.85   -0.1486
2.34   0.8   -0.1376
2.35   0.75   -0.1272
2.36   0.7   -0.1174
2.37   0.65   -0.1082
2.38   0.6   -0.09953
2.39   0.55   -0.09146
2.4   0.5   -0.08396
2.41   0.45   -0.07702
2.42   0.4   -0.07065
2.43   0.35   -0.06483
2.44   0.3   -0.05956
2.45   0.25   -0.05484
2.46   0.2   -0.05066
2.47   0.15   -0.04702
2.48   0.1   -0.0439
2.49   0.05   -0.04132
2.5   4.663e-14   -0.03925
2.51   -0.05   -0.03771
2.52   -0.1   -0.03667
2.53   -0.15   -0.03614
2.54   -0.2   -0.03611
2.55   -0.25   -0.03658
2.56   -0.3   -0.03754
2.57   -0.35   -0.03899
2.58   -0.4   -0.04092
2.59   -0.45   -0.04332
2.6   -0.5   -0.0462
2.61   -0.55   -0.04954
2.62   -0.6   -0.05335
2.63   -0.65   -0.05761
2.64   -0.7   -0.06233
2.65   -0.75   -0.06749
2.66   -0.8   -0.0731
2.67   -0.85   -0.07914
2.68   -0.9   -0.08561
2.69   -0.95   -0.09251
2.7   -1   -0.09984
2.71   -1.05   -0.1076
2.72   -1.1   -0.1157
2.73   -1.15   -0.1243
2.74   -1.2   -0.1333
2.75   -1.25   -0.1426
2.76   -1.3   -0.1524
2.77   -1.35   -0.1625
2.78   -1.4   -0.173
2.79   -1.45   -0.184
2.8   -1.5   -0.1952
2.81   -1.55   -0.2069
2.82   -1.6   -0.2189
2.83   -1.65   -0.2313
2.84   -1.7   -0.244
2.85   -1.75   -0.2571
2.86   -1.8   -0.2705
2.87   -1.85   -0.2842
2.88   -1.9   -0.2983
2.89   -1.95   -0.3128
2.9   -2   -0.3275
2.91   -2.05   -0.3426
2.92   -2.1   -0.358
2.93   -2.15   -0.3737
2.94   -2.2   -0.3897
2.95   -2.25   -0.406
2.96   -2.3   -0.4226
2.97   -2.35   -0.4395
2.98   -2.4   -0.4567
2.99   -2.45   -0.4742
3   -2.5   -0.4919
3.01   -2.45   -0.51
3.02   -2.4   -0.5283
3.03   -2.35   -0.5458
3.04   -2.3   -0.5627
3.05   -2.25   -0.5788
3.06   -2.2   -0.5942
3.07   -2.15   -0.6089
3.08   -2.1   -0.6228
3.09   -2.05   -0.6361
3.1   -2   -0.6487
3.11   -1.95   -0.6606
3.12   -1.9   -0.6718
3.13   -1.85   -0.6823
3.14   -1.8   -0.6922
3.15   -1.75   -0.7014
3.16   -1.7   -0.7099
3.17   -1.65   -0.7178
3.18   -1.6   -0.725
3.19   -1.55   -0.7316
3.2   -1.5   -0.7376
3.21   -1.45   -0.7429
3.22   -1.4   -0.7476
3.23   -1.35   -0.7516
3.24   -1.3   -0.7551
3.25   -1.25   -0.7579
3.26   -1.2   -0.7601
3.27   -1.15   -0.7618
3.28   -1.1   -0.7628
3.29   -1.05   -0.7633
3.3   -1   -0.7632
3.31   -0.95   -0.7625
3.32   -0.9   -0.7612
3.33   -0.85   -0.7594
3.34   -0.8   -0.757
3.35   -0.75   -0.754
3.36   -0.7   -0.7505
3.37   -0.65   -0.7465
3.38   -0.6   -0.7419
3.39   -0.55   -0.7369
3.4   -0.5   -0.7312
3.41   -0.45   -0.7251
3.42   -0.4   -0.7185
